Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 2, 2014","$1,219.75 oz","$1,225.00 oz"
"January 3, 2014","$1,232.25 oz","$1,234.50 oz"
"January 6, 2014","$1,238.00 oz","$1,246.25 oz"
"January 7, 2014","$1,237.50 oz","$1,227.50 oz"
"January 8, 2014","$1,226.50 oz","$1,221.00 oz"
"January 9, 2014","$1,226.00 oz","$1,226.00 oz"
"January 10, 2014","$1,232.25 oz","$1,244.25 oz"
"January 13, 2014","$1,246.00 oz","$1,248.00 oz"
"January 14, 2014","$1,248.75 oz","$1,251.50 oz"
"January 15, 2014","$1,238.00 oz","$1,236.00 oz"
"January 16, 2014","$1,237.25 oz","$1,241.50 oz"
"January 17, 2014","$1,241.00 oz","$1,250.00 oz"
"January 20, 2014","$1,254.75 oz","$1,255.75 oz"
"January 21, 2014","$1,247.75 oz","$1,238.00 oz"
"January 22, 2014","$1,239.50 oz","$1,241.00 oz"
"January 23, 2014","$1,244.25 oz","$1,263.00 oz"
"January 24, 2014","$1,259.25 oz","$1,267.00 oz"
"January 27, 2014","$1,270.00 oz","$1,260.50 oz"
"January 28, 2014","$1,253.50 oz","$1,251.25 oz"
"January 29, 2014","$1,254.75 oz","$1,264.00 oz"
"January 30, 2014","$1,254.00 oz","$1,242.50 oz"
"January 31, 2014","$1,246.50 oz","$1,251.00 oz"
"February 3, 2014","$1,246.50 oz","$1,262.00 oz"
"February 4, 2014","$1,253.00 oz","$1,250.25 oz"
"February 5, 2014","$1,257.00 oz","$1,254.50 oz"
"February 6, 2014","$1,258.50 oz","$1,256.50 oz"
"February 7, 2014","$1,260.00 oz","$1,259.25 oz"
"February 10, 2014","$1,273.50 oz","$1,277.00 oz"
"February 11, 2014","$1,282.75 oz","$1,282.00 oz"
"February 12, 2014","$1,286.50 oz","$1,289.50 oz"
"February 13, 2014","$1,290.25 oz","$1,296.00 oz"
"February 14, 2014","$1,308.50 oz","$1,320.00 oz"
"February 17, 2014","$1,326.00 oz","$1,327.50 oz"
"February 18, 2014","$1,314.00 oz","$1,320.75 oz"
"February 19, 2014","$1,318.75 oz","$1,320.50 oz"
