Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 2, 2009",$869.75 oz,$874.50 oz
"January 5, 2009",$860.00 oz,$853.50 oz
"January 6, 2009",$844.00 oz,$848.25 oz
"January 7, 2009",$864.00 oz,$848.50 oz
"January 8, 2009",$842.50 oz,$855.75 oz
"January 9, 2009",$854.00 oz,$847.25 oz
"January 12, 2009",$848.50 oz,$827.00 oz
"January 13, 2009",$815.50 oz,$826.50 oz
"January 14, 2009",$827.25 oz,$821.50 oz
"January 15, 2009",$813.00 oz,$810.00 oz
"January 16, 2009",$824.25 oz,$833.75 oz
"January 19, 2009",$842.50 oz,$833.00 oz
"January 20, 2009",$835.00 oz,$853.25 oz
"January 21, 2009",$860.50 oz,$849.25 oz
"January 22, 2009",$847.75 oz,$860.00 oz
"January 23, 2009",$873.00 oz,$875.75 oz
"January 26, 2009",$906.50 oz,$910.25 oz
"January 27, 2009",$896.00 oz,$897.50 oz
"January 28, 2009",$891.25 oz,$895.25 oz
"January 29, 2009",$878.50 oz,$892.25 oz
"January 30, 2009",$918.50 oz,$919.50 oz
"February 2, 2009",$913.75 oz,$918.25 oz
"February 3, 2009",$902.00 oz,$904.50 oz
"February 4, 2009",$902.25 oz,$905.00 oz
"February 5, 2009",$914.75 oz,$920.00 oz
"February 6, 2009",$914.00 oz,$913.00 oz
"February 9, 2009",$901.00 oz,$895.00 oz
"February 10, 2009",$896.00 oz,$909.75 oz
"February 11, 2009",$922.00 oz,$938.00 oz
"February 12, 2009",$944.00 oz,$943.25 oz
"February 13, 2009",$939.25 oz,$935.50 oz
"February 16, 2009",$943.00 oz,$942.50 oz
"February 17, 2009",$962.25 oz,$968.00 oz
"February 18, 2009",$964.75 oz,$964.00 oz
"February 19, 2009",$973.50 oz,$980.50 oz
"February 20, 2009",$981.00 oz,$989.00 oz
"February 23, 2009",$987.00 oz,$985.75 oz
"February 24, 2009",$989.75 oz,$984.25 oz
"February 25, 2009",$956.25 oz,$978.50 oz
"February 26, 2009",$945.00 oz,$936.50 oz
"February 27, 2009",$943.75 oz,$952.00 oz
"March 2, 2009",$949.50 oz,$937.25 oz
"March 3, 2009",$924.75 oz,$913.75 oz
"March 4, 2009",$911.00 oz,$908.50 oz
"March 5, 2009",$913.25 oz,$913.00 oz
"March 6, 2009",$937.75 oz,$936.00 oz
"March 9, 2009",$934.75 oz,$923.75 oz
"March 10, 2009",$911.50 oz,$901.50 oz
"March 11, 2009",$900.00 oz,$899.50 oz
"March 12, 2009",$914.50 oz,$925.25 oz
"March 13, 2009",$920.00 oz,$928.00 oz
"March 16, 2009",$923.00 oz,$919.50 oz
"March 17, 2009",$920.00 oz,$915.50 oz
"March 18, 2009",$910.75 oz,$893.25 oz
"March 19, 2009",$937.25 oz,$956.50 oz
"March 20, 2009",$957.00 oz,$954.00 oz
"March 23, 2009",$952.75 oz,$949.25 oz
"March 24, 2009",$928.75 oz,$923.75 oz
"March 25, 2009",$921.25 oz,$929.00 oz
"March 26, 2009",$935.50 oz,$938.25 oz
"March 27, 2009",$927.00 oz,$924.00 oz
"March 30, 2009",$923.00 oz,$928.00 oz
"March 31, 2009",$918.50 oz,$916.50 oz
"April 1, 2009",$919.50 oz,$924.50 oz
"April 2, 2009",$914.75 oz,$897.75 oz
"April 3, 2009",$901.50 oz,$905.00 oz
"April 6, 2009",$879.50 oz,$870.25 oz
"April 7, 2009",$879.25 oz,$879.75 oz
"April 8, 2009",$887.25 oz,$880.00 oz
"April 9, 2009",$883.75 oz,$880.50 oz
"April 14, 2009",$895.00 oz,$887.50 oz
"April 15, 2009",$892.25 oz,$891.00 oz
"April 16, 2009",$889.00 oz,$880.50 oz
"April 17, 2009",$872.00 oz,$870.50 oz
"April 20, 2009",$870.00 oz,$877.00 oz
"April 21, 2009",$888.75 oz,$888.75 oz
"April 22, 2009",$885.00 oz,$886.00 oz
"April 23, 2009",$894.50 oz,$897.50 oz
"April 24, 2009",$909.00 oz,$907.50 oz
"April 27, 2009",$911.75 oz,$907.50 oz
"April 28, 2009",$897.00 oz,$891.00 oz
"April 29, 2009",$894.50 oz,$898.25 oz
"April 30, 2009",$889.00 oz,$883.25 oz
"May 1, 2009",$881.50 oz,$884.50 oz
"May 5, 2009",$903.00 oz,$910.00 oz
"May 6, 2009",$903.50 oz,$910.00 oz
"May 7, 2009",$912.75 oz,$912.25 oz
"May 8, 2009",$917.50 oz,$907.00 oz
"May 11, 2009",$912.50 oz,$913.00 oz
"May 12, 2009",$920.00 oz,$917.00 oz
"May 13, 2009",$925.75 oz,$924.00 oz
"May 14, 2009",$923.25 oz,$925.25 oz
"May 15, 2009",$925.00 oz,$929.50 oz
"May 18, 2009",$929.75 oz,$921.00 oz
"May 19, 2009",$921.50 oz,$924.75 oz
"May 20, 2009",$928.50 oz,$939.50 oz
"May 21, 2009",$940.00 oz,$937.50 oz
"May 22, 2009",$952.50 oz,$959.75 oz
"May 26, 2009",$942.00 oz,$945.00 oz
"May 27, 2009",$949.50 oz,$951.00 oz
"May 28, 2009",$949.75 oz,$957.75 oz
"May 29, 2009",$972.00 oz,$975.50 oz
"June 1, 2009",$987.00 oz,$981.75 oz
"June 2, 2009",$973.50 oz,$980.00 oz
"June 3, 2009",$979.00 oz,$976.75 oz
"June 4, 2009",$967.25 oz,$970.75 oz
"June 5, 2009",$977.75 oz,$962.00 oz
"June 8, 2009",$946.50 oz,$943.75 oz
"June 9, 2009",$952.50 oz,$956.00 oz
"June 10, 2009",$961.25 oz,$953.75 oz
"June 11, 2009",$953.00 oz,$947.50 oz
"June 12, 2009",$950.00 oz,$937.25 oz
"June 15, 2009",$932.00 oz,$932.25 oz
"June 16, 2009",$936.75 oz,$934.00 oz
"June 17, 2009",$933.75 oz,$930.50 oz
"June 18, 2009",$936.75 oz,$940.50 oz
"June 19, 2009",$933.75 oz,$935.25 oz
"June 22, 2009",$924.00 oz,$919.25 oz
"June 23, 2009",$920.25 oz,$920.75 oz
"June 24, 2009",$928.75 oz,$933.50 oz
"June 25, 2009",$934.25 oz,$937.25 oz
"June 26, 2009",$943.00 oz,$942.00 oz
"June 29, 2009",$939.75 oz,$935.50 oz
"June 30, 2009",$941.00 oz,$934.50 oz
"July 1, 2009",$931.50 oz,$938.25 oz
"July 2, 2009",$936.00 oz,$929.50 oz
"July 3, 2009",$932.50 oz,$932.50 oz
"July 6, 2009",$921.50 oz,$924.50 oz
"July 7, 2009",$925.75 oz,$924.00 oz
"July 8, 2009",$920.75 oz,$918.00 oz
"July 9, 2009",$914.75 oz,$911.75 oz
"July 10, 2009",$910.00 oz,$913.00 oz
"July 13, 2009",$908.50 oz,$908.50 oz
"July 14, 2009",$921.75 oz,$924.75 oz
"July 15, 2009",$930.00 oz,$938.00 oz
"July 16, 2009",$935.25 oz,$935.00 oz
"July 17, 2009",$934.50 oz,$937.50 oz
"July 20, 2009",$952.25 oz,$952.75 oz
"July 21, 2009",$947.75 oz,$947.75 oz
"July 22, 2009",$945.50 oz,$948.25 oz
"July 23, 2009",$955.25 oz,$950.00 oz
"July 24, 2009",$949.75 oz,$951.50 oz
"July 27, 2009",$956.00 oz,$955.00 oz
"July 28, 2009",$955.00 oz,$944.25 oz
"July 29, 2009",$935.50 oz,$931.00 oz
"July 30, 2009",$932.00 oz,$932.50 oz
"July 31, 2009",$936.50 oz,$939.00 oz
"August 3, 2009",$954.25 oz,$959.75 oz
"August 4, 2009",$953.50 oz,$960.50 oz
"August 5, 2009",$964.50 oz,$960.50 oz
"August 6, 2009",$960.75 oz,$964.00 oz
"August 7, 2009",$960.50 oz,$956.00 oz
"August 10, 2009",$953.50 oz,$945.00 oz
"August 11, 2009",$946.00 oz,$942.75 oz
"August 12, 2009",$943.50 oz,$947.25 oz
"August 13, 2009",$956.00 oz,$953.50 oz
"August 14, 2009",$957.50 oz,$953.50 oz
"August 17, 2009",$937.50 oz,$932.75 oz
"August 18, 2009",$938.25 oz,$935.00 oz
"August 19, 2009",$934.25 oz,$943.00 oz
"August 20, 2009",$943.50 oz,$940.50 oz
"August 21, 2009",$941.50 oz,$952.50 oz
"August 24, 2009",$953.75 oz,$951.50 oz
"August 25, 2009",$947.50 oz,$950.50 oz
"August 26, 2009",$949.50 oz,$940.50 oz
"August 27, 2009",$943.50 oz,$943.00 oz
"August 28, 2009",$950.75 oz,$955.50 oz
"September 1, 2009",$949.75 oz,$955.00 oz
"September 2, 2009",$955.00 oz,$964.75 oz
"September 3, 2009",$982.50 oz,$983.00 oz
"September 4, 2009",$987.25 oz,$989.00 oz
"September 7, 2009",$992.75 oz,$993.00 oz
"September 8, 2009","$1,004.50 oz","$1,000.75 oz"
"September 9, 2009",$995.75 oz,$999.50 oz
"September 10, 2009",$988.50 oz,$990.75 oz
"September 11, 2009",$998.25 oz,"$1,008.25 oz"
"September 14, 2009",$994.25 oz,$999.25 oz
"September 15, 2009",$997.50 oz,$996.00 oz
"September 16, 2009","$1,017.00 oz","$1,015.75 oz"
"September 17, 2009","$1,020.50 oz","$1,018.50 oz"
"September 18, 2009","$1,014.00 oz","$1,012.00 oz"
"September 21, 2009",$999.25 oz,$997.00 oz
"September 22, 2009","$1,015.75 oz","$1,014.00 oz"
"September 23, 2009","$1,014.75 oz","$1,010.25 oz"
"September 24, 2009","$1,014.00 oz","$1,009.75 oz"
"September 25, 2009",$997.00 oz,$991.50 oz
"September 28, 2009",$990.50 oz,$991.75 oz
"September 29, 2009",$991.75 oz,$989.50 oz
"September 30, 2009","$1,001.25 oz",$995.75 oz
"October 1, 2009","$1,005.75 oz","$1,004.75 oz"
"October 2, 2009",$998.00 oz,"$1,003.50 oz"
"October 5, 2009","$1,004.25 oz","$1,005.50 oz"
"October 6, 2009","$1,020.25 oz","$1,038.75 oz"
"October 7, 2009","$1,047.00 oz","$1,040.25 oz"
"October 8, 2009","$1,054.75 oz","$1,045.00 oz"
"October 9, 2009","$1,046.75 oz","$1,051.50 oz"
"October 12, 2009","$1,052.00 oz","$1,058.75 oz"
"October 13, 2009","$1,064.50 oz","$1,057.50 oz"
"October 14, 2009","$1,066.00 oz","$1,059.50 oz"
"October 15, 2009","$1,052.50 oz","$1,053.50 oz"
"October 16, 2009","$1,047.75 oz","$1,047.50 oz"
"October 19, 2009","$1,054.50 oz","$1,050.50 oz"
"October 20, 2009","$1,064.00 oz","$1,061.75 oz"
"October 21, 2009","$1,053.50 oz","$1,053.75 oz"
"October 22, 2009","$1,054.75 oz","$1,053.00 oz"
"October 23, 2009","$1,061.25 oz","$1,061.75 oz"
"October 26, 2009","$1,055.00 oz","$1,054.00 oz"
"October 27, 2009","$1,040.75 oz","$1,036.50 oz"
"October 28, 2009","$1,035.50 oz","$1,031.75 oz"
"October 29, 2009","$1,034.00 oz","$1,040.50 oz"
"October 30, 2009","$1,044.50 oz","$1,040.00 oz"
"November 2, 2009","$1,052.00 oz","$1,062.00 oz"
"November 3, 2009","$1,058.00 oz","$1,061.00 oz"
"November 4, 2009","$1,091.75 oz","$1,090.00 oz"
"November 5, 2009","$1,088.00 oz","$1,089.00 oz"
"November 6, 2009","$1,095.00 oz","$1,096.75 oz"
"November 9, 2009","$1,108.50 oz","$1,106.75 oz"
"November 10, 2009","$1,099.75 oz","$1,101.50 oz"
"November 11, 2009","$1,114.75 oz","$1,115.25 oz"
"November 12, 2009","$1,116.00 oz","$1,114.75 oz"
"November 13, 2009","$1,107.50 oz","$1,104.00 oz"
"November 16, 2009","$1,128.75 oz","$1,130.00 oz"
"November 17, 2009","$1,131.75 oz","$1,134.75 oz"
"November 18, 2009","$1,146.00 oz","$1,149.00 oz"
"November 19, 2009","$1,136.00 oz","$1,135.50 oz"
"November 20, 2009","$1,142.50 oz","$1,140.00 oz"
"November 23, 2009","$1,166.00 oz","$1,169.50 oz"
"November 24, 2009","$1,170.25 oz","$1,163.25 oz"
"November 25, 2009","$1,176.50 oz","$1,179.75 oz"
"November 26, 2009","$1,183.00 oz","$1,182.75 oz"
"November 27, 2009","$1,164.50 oz","$1,166.50 oz"
"November 30, 2009","$1,172.00 oz","$1,175.75 oz"
"December 1, 2009","$1,193.50 oz","$1,192.50 oz"
"December 2, 2009","$1,211.50 oz","$1,212.50 oz"
"December 3, 2009","$1,218.25 oz","$1,208.75 oz"
"December 4, 2009","$1,203.25 oz","$1,190.25 oz"
"December 7, 2009","$1,147.50 oz","$1,142.50 oz"
"December 8, 2009","$1,164.25 oz","$1,146.75 oz"
"December 9, 2009","$1,142.25 oz","$1,141.00 oz"
"December 10, 2009","$1,125.75 oz","$1,128.50 oz"
"December 11, 2009","$1,140.00 oz","$1,124.00 oz"
"December 14, 2009","$1,120.00 oz","$1,123.75 oz"
"December 15, 2009","$1,115.00 oz","$1,122.00 oz"
"December 16, 2009","$1,134.00 oz","$1,137.50 oz"
"December 17, 2009","$1,121.50 oz","$1,117.00 oz"
"December 18, 2009","$1,106.50 oz","$1,104.50 oz"
"December 21, 2009","$1,113.25 oz","$1,105.50 oz"
"December 22, 2009","$1,094.25 oz","$1,084.00 oz"
"December 23, 2009","$1,080.50 oz","$1,085.25 oz"
"December 24, 2009","$1,104.50 oz",
"December 29, 2009","$1,103.00 oz","$1,106.00 oz"
"December 30, 2009","$1,092.50 oz","$1,087.50 oz"
"December 31, 2009","$1,104.00 oz",$869.75 oz
