Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 2, 2008",$840.75 oz,$846.75 oz
"January 3, 2008",$865.35 oz,$858.85 oz
"January 4, 2008",$858.75 oz,$855.00 oz
"January 7, 2008",$857.50 oz,$859.25 oz
"January 8, 2008",$873.25 oz,$873.50 oz
"January 9, 2008",$887.85 oz,$877.00 oz
"January 10, 2008",$874.25 oz,$884.25 oz
"January 11, 2008",$893.75 oz,$891.00 oz
"January 14, 2008",$911.50 oz,$902.00 oz
"January 15, 2008",$904.75 oz,$913.00 oz
"January 16, 2008",$881.00 oz,$889.75 oz
"January 17, 2008",$881.50 oz,$888.25 oz
"January 18, 2008",$872.75 oz,$882.00 oz
"January 21, 2008",$874.25 oz,$871.25 oz
"January 22, 2008",$862.00 oz,$875.00 oz
"January 23, 2008",$887.80 oz,$888.25 oz
"January 24, 2008",$891.50 oz,$909.25 oz
"January 25, 2008",$921.25 oz,$918.25 oz
"January 28, 2008",$916.50 oz,$921.75 oz
"January 29, 2008",$927.50 oz,$924.50 oz
"January 30, 2008",$923.75 oz,$919.00 oz
"January 31, 2008",$923.75 oz,$923.25 oz
"February 1, 2008",$933.00 oz,$914.75 oz
"February 4, 2008",$899.50 oz,$893.75 oz
"February 5, 2008",$889.75 oz,$887.50 oz
"February 6, 2008",$892.00 oz,$903.00 oz
"February 7, 2008",$908.25 oz,$899.75 oz
"February 8, 2008",$914.00 oz,$916.25 oz
"February 11, 2008",$925.50 oz,$918.00 oz
"February 12, 2008",$920.25 oz,$917.00 oz
"February 13, 2008",$905.75 oz,$899.00 oz
"February 14, 2008",$910.85 oz,$906.00 oz
"February 15, 2008",$909.75 oz,$912.50 oz
"February 18, 2008",$905.00 oz,$903.25 oz
"February 19, 2008",$916.50 oz,$924.00 oz
"February 20, 2008",$924.85 oz,$920.00 oz
"February 21, 2008",$943.00 oz,$945.00 oz
"February 22, 2008",$945.75 oz,$943.00 oz
"February 25, 2008",$947.50 oz,$937.75 oz
"February 26, 2008",$934.00 oz,$937.00 oz
"February 27, 2008",$958.75 oz,$959.50 oz
"February 28, 2008",$957.00 oz,$959.75 oz
"February 29, 2008",$969.00 oz,$971.50 oz
"March 3, 2008",$978.25 oz,$988.50 oz
"March 4, 2008",$981.75 oz,$984.75 oz
"March 5, 2008",$966.25 oz,$974.50 oz
"March 6, 2008",$986.25 oz,$976.50 oz
"March 7, 2008",$978.50 oz,$972.50 oz
"March 10, 2008",$973.15 oz,$969.25 oz
"March 11, 2008",$980.50 oz,$970.00 oz
