Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 4, 2016","$1,072.70 oz","$1,082.25 oz"
"January 5, 2016","$1,078.00 oz","$1,077.00 oz"
"January 6, 2016","$1,083.85 oz","$1,091.40 oz"
"January 7, 2016","$1,096.00 oz","$1,106.35 oz"
"January 8, 2016","$1,097.45 oz","$1,101.85 oz"
"January 11, 2016","$1,104.70 oz","$1,100.75 oz"
"January 12, 2016","$1,094.85 oz","$1,085.40 oz"
"January 13, 2016","$1,081.80 oz","$1,088.15 oz"
"January 14, 2016","$1,090.75 oz","$1,088.40 oz"
"January 15, 2016","$1,081.10 oz","$1,093.75 oz"
"January 18, 2016","$1,090.45 oz","$1,089.20 oz"
"January 19, 2016","$1,087.00 oz","$1,086.25 oz"
"January 20, 2016","$1,093.20 oz","$1,101.75 oz"
"January 21, 2016","$1,096.80 oz","$1,096.50 oz"
"January 22, 2016","$1,097.65 oz","$1,096.25 oz"
"January 25, 2016","$1,103.70 oz","$1,106.60 oz"
"January 26, 2016","$1,114.70 oz","$1,113.60 oz"
"January 27, 2016","$1,116.50 oz","$1,116.25 oz"
"January 28, 2016","$1,119.00 oz","$1,114.00 oz"
"January 29, 2016","$1,112.90 oz","$1,111.80 oz"
"February 1, 2016","$1,122.00 oz","$1,126.50 oz"
"February 2, 2016","$1,123.60 oz","$1,128.50 oz"
"February 3, 2016","$1,130.00 oz","$1,132.00 oz"
"February 4, 2016","$1,146.25 oz","$1,156.35 oz"
"February 5, 2016","$1,158.50 oz","$1,150.35 oz"
"February 8, 2016","$1,173.40 oz","$1,193.25 oz"
"February 9, 2016","$1,188.90 oz","$1,191.00 oz"
"February 10, 2016","$1,183.40 oz","$1,190.00 oz"
"February 11, 2016","$1,223.25 oz","$1,241.00 oz"
"February 12, 2016","$1,239.50 oz","$1,239.75 oz"
"February 15, 2016","$1,208.45 oz","$1,208.20 oz"
"February 16, 2016","$1,212.00 oz","$1,209.50 oz"
"February 17, 2016","$1,202.40 oz","$1,210.00 oz"
"February 18, 2016","$1,204.40 oz","$1,210.10 oz"
"February 19, 2016","$1,221.50 oz","$1,231.15 oz"
"February 22, 2016","$1,203.65 oz","$1,211.00 oz"
"February 23, 2016","$1,218.75 oz","$1,221.35 oz"
"February 24, 2016","$1,232.25 oz","$1,250.75 oz"
"February 25, 2016","$1,235.40 oz","$1,236.00 oz"
"February 26, 2016","$1,231.00 oz","$1,226.50 oz"
"February 29, 2016","$1,234.15 oz","$1,234.90 oz"
"March 1, 2016","$1,240.00 oz","$1,236.50 oz"
"March 2, 2016","$1,229.35 oz","$1,239.20 oz"
"March 3, 2016","$1,241.95 oz","$1,250.25 oz"
"March 4, 2016","$1,271.50 oz","$1,277.50 oz"
"March 7, 2016","$1,267.60 oz","$1,267.90 oz"
"March 8, 2016","$1,274.10 oz","$1,267.00 oz"
"March 9, 2016","$1,258.25 oz","$1,246.40 oz"
"March 10, 2016","$1,247.25 oz","$1,266.50 oz"
"March 11, 2016","$1,262.25 oz","$1,264.75 oz"
"March 14, 2016","$1,256.55 oz","$1,242.75 oz"
"March 15, 2016","$1,233.60 oz","$1,232.00 oz"
"March 16, 2016","$1,233.10 oz","$1,228.50 oz"
"March 17, 2016","$1,269.60 oz","$1,266.50 oz"
"March 18, 2016","$1,254.50 oz","$1,252.10 oz"
"March 21, 2016","$1,244.25 oz","$1,244.90 oz"
"March 22, 2016","$1,251.80 oz","$1,252.50 oz"
"March 23, 2016","$1,232.20 oz","$1,217.60 oz"
"March 24, 2016","$1,216.45 oz","$1,221.00 oz"
"March 29, 2016","$1,216.45 oz","$1,226.00 oz"
"March 30, 2016","$1,238.20 oz","$1,236.25 oz"
"March 31, 2016","$1,233.60 oz","$1,237.00 oz"
"April 1, 2016","$1,232.10 oz","$1,213.60 oz"
"April 4, 2016","$1,215.00 oz","$1,219.75 oz"
"April 5, 2016","$1,231.50 oz","$1,231.25 oz"
"April 6, 2016","$1,225.75 oz","$1,221.40 oz"
"April 7, 2016","$1,237.50 oz","$1,242.10 oz"
"April 8, 2016","$1,235.00 oz","$1,239.50 oz"
"April 11, 2016","$1,247.25 oz","$1,254.75 oz"
"April 12, 2016","$1,259.20 oz","$1,254.60 oz"
"April 13, 2016","$1,245.75 oz","$1,245.75 oz"
