year,month,close
2019,1,1317.84
2019,2,1287.2
2019,3,1291.92
2019,4,1279.03
2019,5,1309.43
2019,6,1431.5
2019,7,1438.39
2019,8,1520.54
2019,9,1473.67
2019,10,1459.0
2019,11,1461.23
2019,12,1557.97
2020,1,1569.95
2020,2,1700.17
2020,3,1648.61
2020,4,1714.26
2020,5,1685.34
2020,6,1785.9
2020,7,2036.58
2020,8,1933.63
2020,9,1903.11
2020,10,1930.33
