DATE,y_monthly_retail,gas_prices,consumer_sentiments,unemployment_rate,CPI,dow_index,Consumer_debt_service,Pct_chng_prv_yr,GDPC1
11/1/1997,208936,1.17075,107.2,4.6,161.7,97.81,5.705666,4.5,11715.393
12/1/1997,209363,1.1314,102.1,4.7,161.8,99.57,5.705666,4.5,11715.393
1/1/1998,209666,1.08625,106.6,4.6,162,100.68,5.62861,4.9,11832.486
2/1/1998,209552,1.049,110.4,4.6,162,99.76,5.62861,4.9,11832.486
3/1/1998,210832,1.0168,106.5,4.7,162,101.37,5.62861,4.9,11832.486
4/1/1998,213633,1.03025,108.7,4.3,162.2,99.59,5.672466,4.1,11942.032
5/1/1998,214639,1.0635,106.5,4.4,162.6,100.43,5.672466,4.1,11942.032
6/1/1998,216337,1.0644,105.6,4.5,162.8,100.98,5.672466,4.1,11942.032
7/1/1998,214841,1.05525,105.2,4.5,163.2,101.09,5.687028,4.1,12091.614
8/1/1998,213636,1.026,104.4,4.5,163.4,100.13,5.687028,4.1,12091.614
9/1/1998,215720,1.00925,100.9,4.6,163.5,96.02,5.687028,4.1,12091.614
10/1/1998,219483,1.01875,97.4,4.5,163.9,93.62,5.761093,4.9,12287
11/1/1998,221134,0.9954,102.7,4.4,164.1,96.18,5.761093,4.9,12287
12/1/1998,223179,0.945,100.5,4.4,164.4,93.96,5.761093,4.9,12287
1/1/1999,223997,0.939,103.9,4.3,164.7,96.04,5.806999,4.8,12403.293
2/1/1999,226250,0.9205,108.1,4.4,164.7,98.69,5.806999,4.8,12403.293
3/1/1999,227417,0.982,105.7,4.2,164.8,99.92,5.806999,4.8,12403.293
4/1/1999,229037,1.131,104.6,4.3,165.9,100.89,5.908707,4.7,12498.694
5/1/1999,231235,1.1306,106.8,4.2,166,102.51,5.908707,4.7,12498.694
6/1/1999,231903,1.11425,107.3,4.3,166,102.53,5.908707,4.7,12498.694
7/1/1999,233948,1.1575,106,4.3,166.7,99.54,5.984194,4.7,12662.385
8/1/1999,236566,1.2208,104.5,4.2,167.1,99.86,5.984194,4.7,12662.385
9/1/1999,237481,1.2555,107.2,4.2,167.8,98.2,5.984194,4.7,12662.385
10/1/1999,237553,1.24425,103.2,4.1,168.1,98.93,5.95983,4.8,12877.593
11/1/1999,240544,1.2514,107.2,4.1,168.4,101.91,5.95983,4.8,12877.593
12/1/1999,245485,1.2725,105.4,4,168.8,101.53,5.95983,4.8,12877.593
1/1/2000,243436,1.2888,112,4,169.3,104.97,5.937885,4.2,12924.179
2/1/2000,247133,1.377,111.3,4.1,170,105.88,5.937885,4.2,12924.179
3/1/2000,249825,1.51625,107.1,4,171,105.16,5.937885,4.2,12924.179
4/1/2000,245831,1.46475,109.2,3.8,170.9,109.99,6.043636,5.3,13160.842
5/1/2000,246201,1.4868,110.7,4,171.2,108.69,6.043636,5.3,13160.842
6/1/2000,248160,1.63325,106.4,4,172.2,106.58,6.043636,5.3,13160.842
7/1/2000,247176,1.551,108.3,4,172.7,109.37,6.177682,4.1,13178.419
8/1/2000,247576,1.4645,107.3,4.1,172.7,112.57,6.177682,4.1,13178.419
9/1/2000,251837,1.55025,106.8,3.9,173.6,113,6.177682,4.1,13178.419
10/1/2000,251221,1.5322,105.8,3.9,173.9,116.62,6.341266,3,13260.506
11/1/2000,250331,1.51725,107.6,3.9,174.2,115.1,6.341266,3,13260.506
12/1/2000,250658,1.44275,98.4,3.9,174.6,109.28,6.341266,3,13260.506
1/1/2001,252654,1.4472,94.7,4.2,175.6,110.53,6.447079,2.3,13222.69
2/1/2001,252704,1.44975,90.6,4.2,176,112,6.447079,2.3,13222.69
3/1/2001,250328,1.40925,91.5,4.3,176.1,117.63,6.447079,2.3,13222.69
4/1/2001,254763,1.5516,88.4,4.4,176.4,115.95,6.594093,1.1,13299.984
5/1/2001,255218,1.70175,92,4.3,177.3,119.19,6.594093,1.1,13299.984
6/1/2001,254022,1.61625,92.6,4.5,177.7,119.75,6.594093,1.1,13299.984
7/1/2001,252997,1.4206,92.4,4.6,177.4,117.39,6.560403,0.5,13244.784
8/1/2001,254560,1.42075,91.5,4.9,177.4,113.54,6.560403,0.5,13244.784
9/1/2001,249845,1.5215,81.8,5,178.1,113.96,6.560403,0.5,13244.784
10/1/2001,267999,1.3154,82.7,5.3,177.6,115.15,6.712248,0.2,13280.859
11/1/2001,260514,1.1705,83.9,5.5,177.5,115.55,6.712248,0.2,13280.859
12/1/2001,256549,1.086,88.8,5.7,177.4,117.21,6.712248,0.2,13280.859
1/1/2002,256307,1.10725,93,5.7,177.7,120.59,6.616872,1.3,13397.002
2/1/2002,257670,1.11375,90.7,5.7,178,119.28,6.616872,1.3,13397.002
3/1/2002,257059,1.24925,95.7,5.7,178.5,119.06,6.616872,1.3,13397.002
4/1/2002,261333,1.397,93,5.9,179.3,115.4,6.56623,1.3,13478.152
5/1/2002,257573,1.39175,96.9,5.8,179.5,111.91,6.56623,1.3,13478.152
6/1/2002,259786,1.38225,92.4,5.8,179.6,106.55,6.56623,1.3,13478.152
7/1/2002,262769,1.397,88.1,5.8,180,107.7,6.559268,2.2,13538.072
8/1/2002,265043,1.39575,87.6,5.7,180.5,106.87,6.559268,2.2,13538.072
9/1/2002,260626,1.3996,86.1,5.7,180.8,107.26,6.559268,2.2,13538.072
10/1/2002,261953,1.44525,80.6,5.7,181.2,106.82,6.502536,2.1,13559.032
11/1/2002,263568,1.419,84.2,5.9,181.5,106.5,6.502536,2.1,13559.032
12/1/2002,265930,1.3858,86.7,6,181.8,102.26,6.502536,2.1,13559.032
1/1/2003,267230,1.4575,82.4,5.8,182.6,100.14,6.47563,1.8,13634.253
2/1/2003,263188,1.613,79.9,5.9,183.6,99.81,6.47563,1.8,13634.253
3/1/2003,267820,1.693,77.6,5.9,183.9,99.49,6.47563,1.8,13634.253
4/1/2003,267197,1.589,86,6,183.2,97.38,6.439334,2,13751.543
5/1/2003,267362,1.49725,92.1,6.1,182.9,93.31,6.439334,2,13751.543
6/1/2003,270396,1.4928,89.7,6.3,183.1,95.11,6.439334,2,13751.543
7/1/2003,273352,1.5125,90.9,6.2,183.7,97.14,6.356244,3.3,13985.073
8/1/2003,277965,1.62025,89.3,6.1,184.5,98.1,6.356244,3.3,13985.073
9/1/2003,276430,1.6788,87.7,6.1,185.1,93.2,6.356244,3.3,13985.073
10/1/2003,274764,1.5635,89.6,6,184.9,92.88,6.371153,4.3,14145.645
11/1/2003,278298,1.512,93.7,5.8,185,90.28,6.371153,4.3,14145.645
12/1/2003,277612,1.4788,92.6,5.7,185.5,87.26,6.371153,4.3,14145.645
1/1/2004,278913,1.57175,103.8,5.7,186.3,87.42,6.363538,4.3,14221.147
2/1/2004,280932,1.6475,94.4,5.6,186.7,87.42,6.363538,4.3,14221.147
3/1/2004,286209,1.736,95.8,5.8,187.1,87.95,6.363538,4.3,14221.147
4/1/2004,282952,1.79775,94.2,5.6,187.4,90.68,6.293786,4.2,14329.523
5/1/2004,288252,1.9834,90.2,5.6,188.2,88.98,6.293786,4.2,14329.523
6/1/2004,284133,1.96925,95.6,5.6,188.9,89,6.293786,4.2,14329.523
7/1/2004,287358,1.91125,96.7,5.5,189.1,90.11,6.315101,3.4,14464.984
8/1/2004,287941,1.878,95.9,5.4,189.2,88.96,6.315101,3.4,14464.984
9/1/2004,293139,1.86975,94.2,5.4,189.8,87.51,6.315101,3.4,14464.984
10/1/2004,295115,1.9995,91.7,5.5,190.8,84.98,6.237751,3.3,14609.876
11/1/2004,296177,1.9794,92.8,5.4,191.7,81.82,6.237751,3.3,14609.876
12/1/2004,299763,1.841,97.1,5.4,191.7,81,6.237751,3.3,14609.876
1/1/2005,296696,1.8308,95.5,5.3,191.6,83.64,6.31672,3.9,14771.602
2/1/2005,300557,1.91,94.1,5.4,192.4,82.51,6.31672,3.9,14771.602
3/1/2005,301308,2.07925,92.6,5.2,193.1,84.05,6.31672,3.9,14771.602
4/1/2005,303760,2.2425,87.7,5.2,193.7,84.42,6.266759,3.6,14839.782
5/1/2005,301776,2.1612,86.9,5.1,193.6,87.8,6.266759,3.6,14839.782
6/1/2005,310989,2.1555,96,5,193.7,88.98,6.266759,3.6,14839.782
7/1/2005,313520,2.29,96.5,5,194.9,89.23,6.199887,3.5,14972.054
8/1/2005,310046,2.4862,89.1,4.9,196.1,87.54,6.199887,3.5,14972.054
9/1/2005,310673,2.90325,76.9,5,198.8,89.35,6.199887,3.5,14972.054
10/1/2005,310479,2.7168,74.2,5,199.1,89.93,6.10349,3.1,15066.597
11/1/2005,313303,2.25675,81.6,5,198.1,91.51,6.10349,3.1,15066.597
12/1/2005,313473,2.185,91.5,4.9,198.1,90.96,6.10349,3.1,15066.597
1/1/2006,322348,2.3156,91.2,4.7,199.3,88.81,6.085338,3.4,15267.026
2/1/2006,320171,2.28,86.7,4.8,199.4,90.08,6.085338,3.4,15267.026
3/1/2006,320869,2.42475,88.9,4.7,199.7,89.39,6.085338,3.4,15267.026
4/1/2006,322561,2.742,87.4,4.7,200.7,85.88,5.979546,3.1,15302.705
5/1/2006,321794,2.9068,79.1,4.6,201.3,84.65,5.979546,3.1,15302.705
6/1/2006,323184,2.8845,84.9,4.6,201.8,84.9,5.979546,3.1,15302.705
7/1/2006,324204,2.9806,84.7,4.7,202.9,85.09,5.934614,2.4,15326.368
8/1/2006,325324,2.95175,82,4.7,203.8,85.02,5.934614,2.4,15326.368
9/1/2006,323236,2.555,85.4,4.5,202.8,85.68,5.934614,2.4,15326.368
10/1/2006,322678,2.2446,93.6,4.4,201.9,85.11,5.919763,2.6,15456.928
11/1/2006,323343,2.22925,92.1,4.5,202,82.85,5.919763,2.6,15456.928
12/1/2006,326849,2.31275,91.7,4.4,203.1,83.43,5.919763,2.6,15456.928
1/1/2007,327181,2.2398,96.9,4.6,203.437,84.43,5.904845,1.5,15493.328
2/1/2007,327953,2.27775,91.3,4.5,204.226,83.5,5.904845,1.5,15493.328
3/1/2007,330579,2.56275,88.4,4.4,205.288,82.66,5.904845,1.5,15493.328
4/1/2007,329560,2.845,87.1,4.5,205.904,81.3,5.935682,1.8,15582.085
5/1/2007,334202,3.146,88.3,4.4,206.755,82.25,5.935682,1.8,15582.085
6/1/2007,331076,3.056,85.3,4.6,207.234,81.69,5.935682,1.8,15582.085
7/1/2007,332342,2.9646,90.4,4.7,207.603,80.66,5.976007,2.2,15666.738
8/1/2007,334169,2.78575,83.4,4.6,207.667,80.745,5.976007,2.2,15666.738
9/1/2007,335442,2.80325,83.4,4.7,208.547,77.625,5.976007,2.2,15666.738
10/1/2007,337530,2.803,80.9,4.7,209.19,76.46,6.00891,2,15761.967
11/1/2007,341133,3.08,76.1,4.7,210.834,76.17,6.00891,2,15761.967
12/1/2007,336189,3.0184,75.5,5,211.445,76.7,6.00891,2,15761.967
1/1/2008,337412,3.04275,78.4,5,212.174,75.285,5.999377,1.1,15671.383
2/1/2008,334584,3.0275,70.8,4.9,212.687,73.75,5.999377,1.1,15671.383
3/1/2008,335193,3.244,69.5,5.1,213.448,72.165,5.999377,1.1,15671.383
4/1/2008,334843,3.458,62.6,5,213.942,72.72,5.845244,1.1,15752.308
5/1/2008,337947,3.76575,59.8,5.4,215.208,72.95,5.845244,1.1,15752.308
6/1/2008,338311,4.0542,56.4,5.6,217.463,72.8,5.845244,1.1,15752.308
7/1/2008,336771,4.0615,61.2,5.8,219.016,73.42,5.883152,0,15667.032
8/1/2008,334045,3.7785,63,6.1,218.69,77.5,5.883152,0,15667.032
9/1/2008,328343,3.7026,70.3,6.1,218.877,79.36,5.883152,0,15667.032
10/1/2008,314830,3.05125,57.6,6.5,216.995,86.345,5.86467,-2.8,15328.027
11/1/2008,301332,2.147,55.3,6.8,213.153,86.705,5.86467,-2.8,15328.027
12/1/2008,294025,1.687,60.1,7.3,211.398,82.15,5.86467,-2.8,15328.027
1/1/2009,298673,1.78825,61.2,7.8,211.933,86.46,5.82438,-3.3,15155.94
2/1/2009,297631,1.92275,56.3,8.3,212.705,88.15,5.82438,-3.3,15155.94
3/1/2009,292300,1.9586,57.3,8.7,212.495,85.895,5.82438,-3.3,15155.94
4/1/2009,293614,2.049,65.1,9,212.709,84.775,5.630329,-3.9,15134.117
5/1/2009,296501,2.2655,68.7,9.4,213.022,79.43,5.630329,-3.9,15134.117
6/1/2009,302169,2.6306,70.8,9.5,214.79,80.425,5.630329,-3.9,15134.117
7/1/2009,302802,2.5265,66,9.5,214.726,78.45,5.574551,-3,15189.222
8/1/2009,309023,2.6164,65.7,9.6,215.445,78.22,5.574551,-3,15189.222
9/1/2009,301033,2.554,73.5,9.8,215.861,76.86,5.574551,-3,15189.222
10/1/2009,304154,2.55125,70.6,10,216.509,76.475,5.417978,0.2,15356.058
11/1/2009,306675,2.6514,67.4,9.9,217.234,74.935,5.417978,0.2,15356.058
12/1/2009,308413,2.60725,72.5,9.9,217.347,78.22,5.417978,0.2,15356.058
1/1/2010,308529,2.715,74.4,9.8,217.488,79.65,5.304477,1.7,15415.145
2/1/2010,308520,2.644,73.6,9.8,217.281,80.44,5.304477,1.7,15415.145
3/1/2010,316269,2.7716,73.6,9.9,217.353,81.291,5.304477,1.7,15415.145
4/1/2010,318612,2.84825,72.2,9.9,217.403,81.991,5.139247,2.8,15557.277
5/1/2010,315356,2.8362,73.6,9.6,217.29,86.67,5.139247,2.8,15557.277
6/1/2010,315250,2.7315,76,9.4,217.199,86.281,5.139247,2.8,15557.277
7/1/2010,315546,2.72875,67.8,9.4,217.605,81.655,5.038337,3.2,15671.967
8/1/2010,317345,2.7298,68.9,9.5,217.923,83.254,5.038337,3.2,15671.967
9/1/2010,319914,2.705,68.2,9.5,218.275,78.938,5.038337,3.2,15671.967
10/1/2010,324043,2.8005,67.7,9.4,219.035,77.457,5.027983,2.6,15750.625
11/1/2010,327635,2.859,71.6,9.8,219.59,81.271,5.027983,2.6,15750.625
12/1/2010,329741,2.993,74.5,9.3,220.472,79.288,5.027983,2.6,15750.625
1/1/2011,332140,3.0948,74.2,9.1,221.187,77.865,5.061776,1.9,15712.754
2/1/2011,334674,3.211,77.5,9,221.898,76.921,5.061776,1.9,15712.754
3/1/2011,337935,3.56125,67.5,9,223.046,76.072,5.061776,1.9,15712.754
4/1/2011,340149,3.7995,69.8,9.1,224.093,73.107,5.04558,1.7,15825.096
5/1/2011,339232,3.9062,74.3,9,224.806,74.696,5.04558,1.7,15825.096
6/1/2011,341657,3.68,71.5,9.1,224.806,74.635,5.04558,1.7,15825.096
7/1/2011,341274,3.65025,63.7,9,225.395,74.036,5.015766,0.9,15820.7
8/1/2011,342228,3.6394,55.8,9,226.106,74.173,5.015766,0.9,15820.7
9/1/2011,345696,3.61125,59.5,9,226.597,79.075,5.015766,0.9,15820.7
10/1/2011,347717,3.448,60.8,8.8,226.75,76.306,5.013645,1.6,16004.107
11/1/2011,349352,3.38375,63.7,8.6,227.169,78.491,5.013645,1.6,16004.107
12/1/2011,349973,3.26575,69.9,8.5,227.223,80.522,5.013645,1.6,16004.107
1/1/2012,352610,3.38,75,8.3,227.842,79.417,4.927077,2.7,16129.418
2/1/2012,357233,3.57925,75.3,8.3,228.329,78.794,4.927077,2.7,16129.418
3/1/2012,358862,3.85175,76.2,8.2,228.807,79.138,4.927077,2.7,16129.418
4/1/2012,356550,3.9004,76.4,8.2,229.187,78.848,4.909409,2.4,16198.807
5/1/2012,356050,3.73225,79.3,8.2,228.713,83.129,4.909409,2.4,16198.807
6/1/2012,352556,3.53875,73.2,8.2,228.524,81.753,4.909409,2.4,16198.807
7/1/2012,353782,3.4392,72.3,8.2,228.59,82.71,4.986934,2.5,16220.667
8/1/2012,358397,3.7215,74.3,8.1,229.918,81.216,4.986934,2.5,16220.667
9/1/2012,361281,3.8485,78.3,7.8,231.015,80.025,4.986934,2.5,16220.667
10/1/2012,362129,3.7456,82.6,7.8,231.638,79.987,4.877597,1.5,16239.138
11/1/2012,363013,3.45175,82.7,7.7,231.249,80.163,4.877597,1.5,16239.138
12/1/2012,364299,3.3104,72.9,7.9,231.221,79.871,4.877597,1.5,16239.138
1/1/2013,367100,3.3185,73.8,8,231.679,79.226,5.136006,1.6,16382.964
2/1/2013,372389,3.67,77.6,7.7,232.937,82.003,5.136006,1.6,16382.964
3/1/2013,369175,3.71125,78.6,7.5,232.282,83.175,5.136006,1.6,16382.964
4/1/2013,367557,3.5702,76.4,7.6,231.797,81.807,5.157126,1.3,16403.18
5/1/2013,369337,3.61475,84.5,7.5,231.893,83.401,5.157126,1.3,16403.18
6/1/2013,370962,3.626,84.1,7.5,232.445,83.376,5.157126,1.3,16403.18
7/1/2013,373426,3.591,85.1,7.3,232.9,81.539,5.177715,1.9,16531.685
8/1/2013,372414,3.57375,82.1,7.2,233.456,82.142,5.177715,1.9,16531.685
9/1/2013,372091,3.5324,77.5,7.2,233.544,80.323,5.177715,1.9,16531.685
10/1/2013,373352,3.34375,73.2,7.2,233.669,80.263,5.210367,2.6,16663.649
11/1/2013,373819,3.24275,75.1,6.9,234.1,80.657,5.210367,2.6,16663.649
12/1/2013,376575,3.2764,82.5,6.7,234.719,80.189,5.210367,2.6,16663.649
1/1/2014,372607,3.3125,81.2,6.6,235.288,81.403,5.211632,1.4,16616.54
2/1/2014,378256,3.35625,81.6,6.7,235.547,79.72,5.211632,1.4,16616.54
3/1/2014,382077,3.5332,80,6.7,236.028,80.254,5.211632,1.4,16616.54
4/1/2014,386506,3.66075,84.1,6.2,236.468,79.532,5.228676,2.7,16841.475
5/1/2014,386815,3.67275,81.9,6.3,236.918,80.404,5.228676,2.7,16841.475
6/1/2014,387726,3.6916,82.5,6.1,237.231,79.811,5.228676,2.7,16841.475
7/1/2014,388072,3.61125,81.8,6.2,237.498,81.523,5.258522,3.1,17047.098
8/1/2014,391304,3.4865,82.5,6.1,237.46,82.783,5.258522,3.1,17047.098
9/1/2014,389778,3.4062,84.6,5.9,237.477,86.047,5.258522,3.1,17047.098
10/1/2014,390348,3.1705,86.9,5.7,237.43,87.016,5.296709,2.9,17143.038
11/1/2014,391679,2.91225,88.8,5.8,236.983,88.413,5.296709,2.9,17143.038
12/1/2014,388421,2.5426,93.6,5.6,236.252,90.647,5.296709,2.9,17143.038
1/1/2015,385466,2.11575,98.1,5.7,234.747,94.998,5.315874,4.1,17305.752
2/1/2015,384793,2.21625,95.4,5.5,235.342,95.321,5.315874,4.1,17305.752
3/1/2015,390948,2.4636,93,5.4,235.976,98.661,5.315874,4.1,17305.752
4/1/2015,390986,2.469,95.9,5.4,236.222,94.714,5.389657,3.5,17422.845
5/1/2015,394518,2.71825,90.7,5.6,237.001,96.986,5.389657,3.5,17422.845
6/1/2015,395115,2.8016,96.1,5.3,237.657,95.661,5.389657,3.5,17422.845
7/1/2015,397720,2.7935,93.1,5.2,238.034,97.439,5.462385,2.6,17486.021
8/1/2015,397585,2.6362,91.9,5.1,238.033,95.854,5.462385,2.6,17486.021
9/1/2015,396353,2.36525,87.2,5,237.498,96.48,5.462385,2.6,17486.021
10/1/2015,394715,2.29,90,5,237.733,97.019,5.399252,2.2,17514.062
11/1/2015,396257,2.158,91.3,5.1,238.017,100.21,5.399252,2.2,17514.062
12/1/2015,397123,2.0375,92.6,5,237.761,98.745,5.399252,2.2,17514.062
1/1/2016,395210,1.9485,92,4.9,237.827,99.652,5.386807,1.8,17613.264
2/1/2016,398293,1.7636,91.7,4.9,237.514,98.219,5.386807,1.8,17613.264
3/1/2016,397196,1.96875,91,5,237.99,94.578,5.386807,1.8,17613.264
4/1/2016,398813,2.11275,89,5,238.835,93.054,5.478076,1.4,17668.203
5/1/2016,400435,2.2682,94.7,4.8,239.44,95.878,5.478076,1.4,17668.203
6/1/2016,404859,2.3655,93.5,4.9,240.144,96.203,5.478076,1.4,17668.203
7/1/2016,404315,2.239,90,4.8,240.111,95.491,5.552613,1.6,17764.388
8/1/2016,404345,2.1776,89.8,4.9,240.595,96.012,5.552613,1.6,17764.388
9/1/2016,406628,2.2185,91.2,5,241.068,95.385,5.552613,1.6,17764.388
10/1/2016,407991,2.2494,87.2,4.9,241.641,98.422,5.59175,2.1,17876.179
11/1/2016,406761,2.1815,93.8,4.7,241.993,101.539,5.59175,2.1,17876.179
12/1/2016,412753,2.25425,98.2,4.7,242.712,102.286,5.59175,2.1,17876.179
1/1/2017,416600,2.349,98.5,4.7,243.717,99.481,5.573853,2.1,17977.299
2/1/2017,416224,2.304,96.3,4.6,244.028,101.129,5.573853,2.1,17977.299
3/1/2017,415464,2.325,96.9,4.4,243.721,100.218,5.573853,2.1,17977.299
4/1/2017,418010,2.41725,97,4.4,244.058,98.898,5.56875,2.2,18054.052
5/1/2017,415879,2.3914,97.1,4.4,243.926,96.854,5.56875,2.2,18054.052
6/1/2017,417639,2.3465,95,4.3,244.179,95.421,5.56875,2.2,18054.052
7/1/2017,417908,2.2998,93.4,4.3,244.328,92.718,5.565693,2.4,18185.636
8/1/2017,418181,2.38025,96.8,4.4,245.304,92.628,5.565693,2.4,18185.636
9/1/2017,428218,2.64525,95.1,4.2,246.445,92.883,5.565693,2.4,18185.636
10/1/2017,428529,2.505,100.7,4.1,246.57,94.429,5.576678,2.7,18359.432
11/1/2017,431841,2.5635,98.5,4.2,247.333,93.002,5.576678,2.7,18359.432
12/1/2017,433877,2.47675,95.9,4.1,247.847,91.826,5.576678,2.7,18359.432
