Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 4, 2000",$282.05 oz,$281.50 oz
"January 5, 2000",$282.10 oz,$280.45 oz
"January 6, 2000",$280.35 oz,$279.40 oz
"January 7, 2000",$282.00 oz,$282.10 oz
"January 10, 2000",$281.70 oz,$281.60 oz
"January 11, 2000",$281.70 oz,$282.25 oz
"January 12, 2000",$282.25 oz,$282.25 oz
"January 13, 2000",$282.20 oz,$282.10 oz
"January 14, 2000",$284.15 oz,$283.30 oz
"January 17, 2000",$284.90 oz,$285.35 oz
"January 18, 2000",$286.85 oz,$285.80 oz
"January 19, 2000",$288.75 oz,$287.65 oz
"January 20, 2000",$288.35 oz,$288.10 oz
"January 21, 2000",$287.70 oz,$287.75 oz
"January 24, 2000",$287.45 oz,$287.20 oz
"January 25, 2000",$288.70 oz,$288.00 oz
"January 26, 2000",$284.90 oz,$285.90 oz
"January 27, 2000",$286.50 oz,$285.55 oz
"January 28, 2000",$286.15 oz,$286.75 oz
"January 31, 2000",$283.05 oz,$283.30 oz
"February 1, 2000",$283.65 oz,$283.00 oz
"February 2, 2000",$283.10 oz,$285.60 oz
"February 3, 2000",$285.25 oz,$285.05 oz
"February 4, 2000",$287.50 oz,$293.65 oz
"February 7, 2000",$316.60 oz,$312.70 oz
"February 8, 2000",$303.15 oz,$296.25 oz
"February 9, 2000",$306.00 oz,$308.60 oz
"February 10, 2000",$311.25 oz,$309.00 oz
"February 11, 2000",$316.50 oz,$311.50 oz
"February 14, 2000",$308.75 oz,$308.35 oz
"February 15, 2000",$307.00 oz,$304.25 oz
"February 16, 2000",$300.50 oz,$302.50 oz
"February 17, 2000",$306.25 oz,$304.75 oz
"February 18, 2000",$302.25 oz,$303.55 oz
"February 21, 2000",$305.75 oz,$305.25 oz
"February 22, 2000",$305.40 oz,$302.25 oz
"February 23, 2000",$305.25 oz,$302.00 oz
"February 24, 2000",$299.90 oz,$298.75 oz
"February 25, 2000",$297.15 oz,$294.00 oz
"February 28, 2000",$292.75 oz,$292.50 oz
"February 29, 2000",$294.00 oz,$293.65 oz
"March 1, 2000",$293.75 oz,$292.90 oz
"March 2, 2000",$289.00 oz,$289.90 oz
