Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 3, 1995",$381.40 oz,$380.90 oz
"January 4, 1995",$378.25 oz,$375.60 oz
"January 5, 1995",$375.00 oz,$375.30 oz
"January 6, 1995",$375.90 oz,$375.20 oz
"January 9, 1995",$372.45 oz,$372.40 oz
"January 10, 1995",$374.10 oz,$374.10 oz
"January 11, 1995",$375.00 oz,$375.60 oz
"January 12, 1995",$377.60 oz,$380.50 oz
"January 13, 1995",$379.80 oz,$378.60 oz
"January 16, 1995",$377.45 oz,$377.55 oz
"January 17, 1995",$377.90 oz,$379.80 oz
"January 18, 1995",$382.00 oz,$382.60 oz
"January 19, 1995",$383.10 oz,$381.90 oz
"January 20, 1995",$383.00 oz,$383.85 oz
"January 23, 1995",$385.10 oz,$382.35 oz
"January 24, 1995",$381.50 oz,$381.30 oz
"January 25, 1995",$381.70 oz,$381.45 oz
"January 26, 1995",$380.50 oz,$381.35 oz
"January 27, 1995",$380.00 oz,$378.40 oz
"January 30, 1995",$375.90 oz,$375.90 oz
"January 31, 1995",$375.85 oz,$374.90 oz
"February 1, 1995",$376.25 oz,$376.25 oz
"February 2, 1995",$375.25 oz,$375.90 oz
"February 3, 1995",$376.35 oz,$375.65 oz
"February 6, 1995",$375.25 oz,$374.50 oz
"February 7, 1995",$375.20 oz,$374.50 oz
"February 8, 1995",$374.80 oz,$374.60 oz
"February 9, 1995",$375.85 oz,$376.60 oz
"February 10, 1995",$376.40 oz,$376.40 oz
"February 13, 1995",$375.60 oz,$374.50 oz
"February 14, 1995",$376.00 oz,$376.00 oz
"February 15, 1995",$376.90 oz,$376.60 oz
"February 16, 1995",$376.10 oz,$376.75 oz
"February 17, 1995",$376.55 oz,$378.25 oz
"February 20, 1995",$379.30 oz,$379.20 oz
"February 21, 1995",$379.00 oz,$378.65 oz
"February 22, 1995",$379.00 oz,$379.20 oz
"February 23, 1995",$379.00 oz,$379.50 oz
"February 24, 1995",$379.60 oz,$377.75 oz
"February 27, 1995",$376.80 oz,$375.60 oz
"February 28, 1995",$375.70 oz,$376.40 oz
"March 1, 1995",$376.30 oz,$375.70 oz
"March 2, 1995",$374.45 oz,$374.75 oz
"March 3, 1995",$376.35 oz,$377.25 oz
"March 6, 1995",$376.60 oz,$378.85 oz
"March 7, 1995",$379.00 oz,$382.00 oz
"March 8, 1995",$383.10 oz,$380.00 oz
"March 9, 1995",$381.00 oz,$380.90 oz
"March 10, 1995",$383.50 oz,$381.40 oz
"March 13, 1995",$382.75 oz,$385.50 oz
"March 14, 1995",$385.20 oz,$384.70 oz
"March 15, 1995",$386.60 oz,$386.15 oz
"March 16, 1995",$385.15 oz,$383.70 oz
"March 17, 1995",$382.75 oz,$382.65 oz
"March 20, 1995",$382.45 oz,$382.20 oz
"March 21, 1995",$382.60 oz,$382.90 oz
"March 22, 1995",$381.40 oz,$382.25 oz
"March 23, 1995",$383.10 oz,$383.45 oz
"March 24, 1995",$383.25 oz,$382.10 oz
"March 27, 1995",$382.30 oz,$382.20 oz
"March 28, 1995",$382.35 oz,$381.70 oz
"March 29, 1995",$383.00 oz,$383.00 oz
"March 30, 1995",$382.10 oz,$383.40 oz
"March 31, 1995",$386.55 oz,$392.00 oz
"April 3, 1995",$392.25 oz,$392.30 oz
"April 4, 1995",$391.95 oz,$391.70 oz
"April 5, 1995",$392.50 oz,$392.05 oz
"April 6, 1995",$393.75 oz,$393.40 oz
"April 7, 1995",$392.00 oz,$393.10 oz
"April 10, 1995",$390.90 oz,$389.30 oz
"April 11, 1995",$389.10 oz,$390.00 oz
"April 12, 1995",$389.80 oz,$390.05 oz
"April 13, 1995",$389.90 oz,$389.20 oz
"April 18, 1995",$394.10 oz,$392.85 oz
"April 19, 1995",$396.95 oz,$395.55 oz
"April 20, 1995",$393.35 oz,$393.30 oz
"April 21, 1995",$390.35 oz,$390.35 oz
"April 24, 1995",$391.05 oz,$390.65 oz
"April 25, 1995",$390.20 oz,$389.75 oz
"April 26, 1995",$389.85 oz,$388.90 oz
"April 27, 1995",$386.60 oz,$386.35 oz
"April 28, 1995",$389.50 oz,$389.75 oz
"May 1, 1995",$386.50 oz,$387.20 oz
"May 2, 1995",$388.35 oz,$388.55 oz
"May 3, 1995",$388.80 oz,$388.70 oz
"May 4, 1995",$390.30 oz,$390.10 oz
"May 5, 1995",$391.35 oz,$391.00 oz
"May 9, 1995",$389.90 oz,$388.10 oz
"May 10, 1995",$383.40 oz,$383.20 oz
"May 11, 1995",$383.10 oz,$383.65 oz
"May 12, 1995",$384.10 oz,$384.60 oz
"May 15, 1995",$383.90 oz,$383.75 oz
"May 16, 1995",$384.10 oz,$383.85 oz
"May 17, 1995",$383.40 oz,$382.90 oz
"May 18, 1995",$383.05 oz,$383.00 oz
"May 19, 1995",$382.60 oz,$383.00 oz
"May 22, 1995",$382.35 oz,$381.55 oz
"May 23, 1995",$381.85 oz,$382.00 oz
"May 24, 1995",$382.90 oz,$383.10 oz
"May 25, 1995",$383.75 oz,$385.80 oz
"May 26, 1995",$385.80 oz,$385.50 oz
"May 30, 1995",$386.10 oz,$385.75 oz
"May 31, 1995",$384.25 oz,$384.30 oz
"June 1, 1995",$383.20 oz,$383.50 oz
"June 2, 1995",$384.60 oz,$384.15 oz
"June 5, 1995",$383.40 oz,$383.25 oz
"June 6, 1995",$384.20 oz,$384.20 oz
"June 7, 1995",$384.65 oz,$385.90 oz
"June 8, 1995",$385.95 oz,$385.05 oz
"June 9, 1995",$386.40 oz,$386.40 oz
"June 12, 1995",$387.60 oz,$387.50 oz
"June 13, 1995",$387.50 oz,$387.00 oz
"June 14, 1995",$386.80 oz,$387.75 oz
"June 15, 1995",$388.00 oz,$388.50 oz
"June 16, 1995",$391.30 oz,$391.30 oz
"June 19, 1995",$390.50 oz,$390.50 oz
"June 20, 1995",$390.60 oz,$390.75 oz
"June 21, 1995",$390.70 oz,$390.70 oz
"June 22, 1995",$389.80 oz,$389.65 oz
"June 23, 1995",$389.40 oz,$389.20 oz
"June 26, 1995",$389.30 oz,$389.00 oz
"June 27, 1995",$389.35 oz,$389.40 oz
"June 28, 1995",$389.30 oz,$388.25 oz
"June 29, 1995",$387.45 oz,$387.30 oz
"June 30, 1995",$387.60 oz,$387.05 oz
"July 3, 1995",$384.35 oz,$384.50 oz
"July 4, 1995",$384.65 oz,$384.75 oz
"July 5, 1995",$384.60 oz,$384.25 oz
"July 6, 1995",$384.45 oz,$384.15 oz
"July 7, 1995",$384.80 oz,$385.75 oz
"July 10, 1995",$385.75 oz,$385.80 oz
"July 11, 1995",$384.95 oz,$384.75 oz
"July 12, 1995",$385.85 oz,$386.70 oz
"July 13, 1995",$389.30 oz,$389.20 oz
"July 14, 1995",$388.20 oz,$388.40 oz
"July 17, 1995",$388.20 oz,$388.40 oz
"July 18, 1995",$389.30 oz,$389.60 oz
"July 19, 1995",$389.25 oz,$390.45 oz
"July 20, 1995",$387.85 oz,$386.85 oz
"July 21, 1995",$385.85 oz,$385.95 oz
"July 24, 1995",$386.45 oz,$386.65 oz
"July 25, 1995",$386.65 oz,$386.70 oz
"July 26, 1995",$385.80 oz,$386.00 oz
"July 27, 1995",$386.10 oz,$385.70 oz
"July 28, 1995",$383.20 oz,$383.00 oz
"July 31, 1995",$383.35 oz,$383.35 oz
"August 1, 1995",$381.75 oz,$382.85 oz
"August 2, 1995",$382.65 oz,$382.65 oz
"August 3, 1995",$382.75 oz,$384.00 oz
"August 4, 1995",$384.35 oz,$384.00 oz
"August 7, 1995",$383.75 oz,$384.10 oz
"August 8, 1995",$384.35 oz,$384.50 oz
"August 9, 1995",$384.50 oz,$384.40 oz
"August 10, 1995",$384.05 oz,$384.05 oz
"August 11, 1995",$383.90 oz,$383.55 oz
"August 14, 1995",$383.50 oz,$383.50 oz
"August 15, 1995",$384.50 oz,$386.35 oz
"August 16, 1995",$384.10 oz,$382.00 oz
"August 17, 1995",$383.00 oz,$384.35 oz
"August 18, 1995",$384.85 oz,$384.50 oz
"August 21, 1995",$385.55 oz,$384.70 oz
"August 22, 1995",$383.55 oz,$384.05 oz
"August 23, 1995",$383.45 oz,$382.75 oz
"August 24, 1995",$383.10 oz,$384.00 oz
"August 25, 1995",$382.60 oz,$383.10 oz
"August 29, 1995",$383.25 oz,$383.00 oz
"August 30, 1995",$381.90 oz,$381.65 oz
"August 31, 1995",$381.65 oz,$382.35 oz
"September 1, 1995",$381.80 oz,$381.50 oz
"September 4, 1995",$379.85 oz,$379.70 oz
"September 5, 1995",$379.40 oz,$379.40 oz
"September 6, 1995",$379.00 oz,$380.05 oz
"September 7, 1995",$380.55 oz,$381.45 oz
"September 8, 1995",$383.05 oz,$382.40 oz
"September 11, 1995",$381.90 oz,$382.10 oz
"September 12, 1995",$382.90 oz,$383.10 oz
"September 13, 1995",$385.40 oz,$384.90 oz
"September 14, 1995",$384.70 oz,$385.10 oz
"September 15, 1995",$385.25 oz,$385.00 oz
"September 18, 1995",$384.95 oz,$385.40 oz
"September 19, 1995",$385.65 oz,$384.85 oz
"September 20, 1995",$385.00 oz,$384.50 oz
"September 21, 1995",$382.95 oz,$383.40 oz
"September 22, 1995",$383.25 oz,$383.50 oz
"September 25, 1995",$382.20 oz,$382.75 oz
"September 26, 1995",$383.25 oz,$383.80 oz
"September 27, 1995",$383.20 oz,$383.75 oz
"September 28, 1995",$383.55 oz,$383.50 oz
"September 29, 1995",$383.75 oz,$384.00 oz
"October 2, 1995",$383.10 oz,$383.25 oz
"October 3, 1995",$382.25 oz,$382.20 oz
"October 4, 1995",$382.60 oz,$382.50 oz
"October 5, 1995",$383.35 oz,$383.25 oz
"October 6, 1995",$382.50 oz,$383.05 oz
"October 9, 1995",$384.65 oz,$384.50 oz
"October 10, 1995",$384.70 oz,$385.10 oz
"October 11, 1995",$384.70 oz,$384.50 oz
"October 12, 1995",$384.60 oz,$384.45 oz
"October 13, 1995",$384.00 oz,$383.80 oz
"October 16, 1995",$384.00 oz,$383.85 oz
"October 17, 1995",$383.80 oz,$383.40 oz
"October 18, 1995",$383.75 oz,$383.65 oz
"October 19, 1995",$383.40 oz,$381.75 oz
"October 20, 1995",$381.85 oz,$381.75 oz
"October 23, 1995",$382.55 oz,$382.55 oz
"October 24, 1995",$382.55 oz,$382.50 oz
"October 25, 1995",$382.40 oz,$382.65 oz
"October 26, 1995",$382.70 oz,$382.90 oz
"October 27, 1995",$382.55 oz,$382.60 oz
"October 30, 1995",$382.05 oz,$382.15 oz
"October 31, 1995",$382.40 oz,$382.65 oz
"November 1, 1995",$382.50 oz,$381.95 oz
"November 2, 1995",$382.20 oz,$382.05 oz
"November 3, 1995",$382.80 oz,$382.55 oz
"November 6, 1995",$382.50 oz,$382.20 oz
"November 7, 1995",$382.30 oz,$384.80 oz
"November 8, 1995",$384.70 oz,$384.80 oz
"November 9, 1995",$384.40 oz,$385.00 oz
"November 10, 1995",$386.65 oz,$389.40 oz
"November 13, 1995",$389.60 oz,$388.30 oz
"November 14, 1995",$386.10 oz,$385.85 oz
"November 15, 1995",$385.60 oz,$385.30 oz
"November 16, 1995",$384.65 oz,$385.20 oz
"November 17, 1995",$386.60 oz,$386.35 oz
"November 20, 1995",$386.55 oz,$386.30 oz
"November 21, 1995",$386.80 oz,$386.30 oz
"November 22, 1995",$385.30 oz,$384.35 oz
"November 23, 1995",$382.55 oz,$382.80 oz
"November 24, 1995",$383.50 oz,$383.45 oz
"November 27, 1995",$385.20 oz,$384.60 oz
"November 28, 1995",$387.30 oz,$388.90 oz
"November 29, 1995",$388.95 oz,$388.50 oz
"November 30, 1995",$387.85 oz,$387.80 oz
"December 1, 1995",$387.15 oz,$386.20 oz
"December 4, 1995",$386.25 oz,$385.90 oz
"December 5, 1995",$386.30 oz,$386.55 oz
"December 6, 1995",$387.60 oz,$388.40 oz
"December 7, 1995",$388.40 oz,$387.80 oz
"December 8, 1995",$389.35 oz,$388.80 oz
"December 11, 1995",$389.70 oz,$389.60 oz
"December 12, 1995",$388.45 oz,$388.80 oz
"December 13, 1995",$388.10 oz,$387.60 oz
"December 14, 1995",$385.70 oz,$385.70 oz
"December 15, 1995",$385.85 oz,$386.20 oz
"December 18, 1995",$387.00 oz,$387.20 oz
"December 19, 1995",$388.00 oz,$388.10 oz
"December 20, 1995",$387.10 oz,$387.60 oz
"December 21, 1995",$388.40 oz,$388.05 oz
"December 22, 1995",$387.20 oz,
"December 27, 1995",$387.35 oz,$387.05 oz
"December 28, 1995",$386.85 oz,$387.00 oz
"December 29, 1995",$386.70 oz,
