Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 2, 1997",$367.80 oz,$366.55 oz
"January 3, 1997",$364.30 oz,$364.00 oz
"January 6, 1997",$359.25 oz,$358.50 oz
"January 7, 1997",$357.65 oz,$359.00 oz
"January 8, 1997",$355.80 oz,$356.60 oz
"January 9, 1997",$354.50 oz,$356.50 oz
"January 10, 1997",$358.55 oz,$358.25 oz
"January 13, 1997",$359.60 oz,$359.60 oz
"January 14, 1997",$357.30 oz,$357.40 oz
"January 15, 1997",$352.45 oz,$354.45 oz
"January 16, 1997",$354.00 oz,$353.05 oz
"January 17, 1997",$354.10 oz,$355.75 oz
"January 20, 1997",$354.20 oz,$353.10 oz
"January 21, 1997",$353.40 oz,$354.70 oz
"January 22, 1997",$350.10 oz,$351.20 oz
"January 23, 1997",$349.80 oz,$348.00 oz
"January 24, 1997",$352.95 oz,$352.50 oz
"January 27, 1997",$353.10 oz,$353.60 oz
"January 28, 1997",$357.25 oz,$353.70 oz
"January 29, 1997",$350.15 oz,$351.10 oz
"January 30, 1997",$349.30 oz,$349.25 oz
"January 31, 1997",$345.00 oz,$345.50 oz
"February 3, 1997",$343.75 oz,$344.30 oz
"February 4, 1997",$346.30 oz,$345.70 oz
"February 5, 1997",$343.15 oz,$343.40 oz
"February 6, 1997",$343.40 oz,$342.80 oz
"February 7, 1997",$340.90 oz,$339.75 oz
"February 10, 1997",$341.00 oz,$340.40 oz
"February 11, 1997",$338.85 oz,$339.40 oz
"February 12, 1997",$336.90 oz,$337.70 oz
"February 13, 1997",$343.00 oz,$342.65 oz
"February 14, 1997",$342.50 oz,$342.40 oz
"February 17, 1997",$343.60 oz,$344.10 oz
"February 18, 1997",$346.00 oz,$345.00 oz
"February 19, 1997",$346.10 oz,$346.25 oz
"February 20, 1997",$344.85 oz,$345.00 oz
"February 21, 1997",$350.75 oz,$353.30 oz
"February 24, 1997",$352.45 oz,$353.05 oz
"February 25, 1997",$353.45 oz,$353.10 oz
"February 26, 1997",$353.85 oz,$354.75 oz
"February 27, 1997",$356.60 oz,$360.00 oz
"February 28, 1997",$360.60 oz,$358.60 oz
"March 3, 1997",$361.80 oz,$362.15 oz
"March 4, 1997",$361.75 oz,$359.40 oz
"March 5, 1997",$355.75 oz,$354.50 oz
"March 6, 1997",$352.15 oz,$353.10 oz
"March 7, 1997",$351.70 oz,$350.30 oz
"March 10, 1997",$349.90 oz,$350.25 oz
"March 11, 1997",$352.60 oz,$351.95 oz
"March 12, 1997",$353.15 oz,$351.40 oz
"March 13, 1997",$351.45 oz,$352.90 oz
"March 14, 1997",$353.00 oz,$352.80 oz
"March 17, 1997",$352.05 oz,$351.40 oz
