Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 2, 1992",$351.20 oz,$350.90 oz
"January 3, 1992",$352.40 oz,$353.00 oz
"January 6, 1992",$351.15 oz,$349.40 oz
"January 7, 1992",$349.30 oz,$349.70 oz
"January 8, 1992",$350.30 oz,$350.60 oz
"January 9, 1992",$351.75 oz,$351.55 oz
"January 10, 1992",$356.65 oz,$357.90 oz
"January 13, 1992",$354.90 oz,$353.90 oz
"January 14, 1992",$353.40 oz,$353.60 oz
"January 15, 1992",$355.60 oz,$355.55 oz
"January 16, 1992",$354.60 oz,$356.75 oz
"January 17, 1992",$357.30 oz,$355.90 oz
"January 20, 1992",$356.60 oz,$358.75 oz
"January 21, 1992",$357.35 oz,$357.80 oz
"January 22, 1992",$356.85 oz,$356.75 oz
"January 23, 1992",$356.55 oz,$355.20 oz
"January 24, 1992",$354.50 oz,$353.25 oz
"January 27, 1992",$354.85 oz,$356.10 oz
"January 28, 1992",$356.30 oz,$356.30 oz
"January 29, 1992",$355.40 oz,$354.85 oz
"January 30, 1992",$356.50 oz,$356.00 oz
"January 31, 1992",$354.15 oz,$354.10 oz
"February 3, 1992",$357.10 oz,$356.40 oz
"February 4, 1992",$356.35 oz,$356.00 oz
"February 5, 1992",$354.95 oz,$354.30 oz
"February 6, 1992",$356.25 oz,$355.95 oz
"February 7, 1992",$355.40 oz,$356.20 oz
"February 10, 1992",$354.70 oz,$354.65 oz
"February 11, 1992",$355.25 oz,$356.00 oz
"February 12, 1992",$356.35 oz,$357.20 oz
"February 13, 1992",$356.65 oz,$356.30 oz
"February 14, 1992",$355.35 oz,$354.10 oz
"February 17, 1992",$354.20 oz,$354.35 oz
"February 18, 1992",$353.50 oz,$352.80 oz
"February 19, 1992",$352.35 oz,$353.20 oz
"February 20, 1992",$353.05 oz,$353.40 oz
"February 21, 1992",$353.25 oz,$351.60 oz
"February 24, 1992",$349.00 oz,$349.80 oz
"February 25, 1992",$350.65 oz,$350.50 oz
"February 26, 1992",$348.80 oz,$348.65 oz
"February 27, 1992",$350.85 oz,$353.75 oz
"February 28, 1992",$353.05 oz,$353.10 oz
"March 2, 1992",$350.55 oz,$350.45 oz
"March 3, 1992",$351.00 oz,$351.35 oz
"March 4, 1992",$350.20 oz,$350.15 oz
"March 5, 1992",$349.60 oz,$349.90 oz
"March 6, 1992",$350.55 oz,$349.40 oz
"March 9, 1992",$349.00 oz,$348.80 oz
"March 10, 1992",$348.90 oz,$348.35 oz
"March 11, 1992",$349.00 oz,$349.00 oz
"March 12, 1992",$348.65 oz,$347.60 oz
"March 13, 1992",$347.25 oz,$347.25 oz
"March 16, 1992",$346.75 oz,$343.00 oz
"March 17, 1992",$343.35 oz,$339.00 oz
"March 18, 1992",$340.00 oz,$340.30 oz
