year,month,close
1993,1,328.25
1993,2,329.75
1993,3,328.5
1993,4,336.35
1993,5,356.15
1993,6,377.35
1993,7,379.0
1993,8,405.6
1993,9,369.05
1993,10,354.0
1993,11,363.25
1993,12,373.1
