DATE,UNEMPLOY
10/1/1957,3020
11/1/1957,3454
12/1/1957,3476
1/1/1958,3875
2/1/1958,4303
3/1/1958,4492
4/1/1958,5016
5/1/1958,5021
6/1/1958,4944
7/1/1958,5079
8/1/1958,5025
9/1/1958,4821
10/1/1958,4570
11/1/1958,4188
12/1/1958,4191
1/1/1959,4068
2/1/1959,3965
3/1/1959,3801
4/1/1959,3571
5/1/1959,3479
6/1/1959,3429
7/1/1959,3528
8/1/1959,3588
9/1/1959,3775
10/1/1959,3910
11/1/1959,4003
12/1/1959,3653
1/1/1960,3615
2/1/1960,3329
3/1/1960,3726
4/1/1960,3620
5/1/1960,3569
6/1/1960,3766
7/1/1960,3836
8/1/1960,3946
9/1/1960,3884
10/1/1960,4252
11/1/1960,4330
12/1/1960,4617
1/1/1961,4671
2/1/1961,4832
3/1/1961,4853
4/1/1961,4893
5/1/1961,5003
6/1/1961,4885
7/1/1961,4928
8/1/1961,4682
9/1/1961,4676
10/1/1961,4573
11/1/1961,4295
12/1/1961,4177
1/1/1962,4081
2/1/1962,3871
3/1/1962,3921
4/1/1962,3906
5/1/1962,3863
6/1/1962,3844
7/1/1962,3819
8/1/1962,4013
9/1/1962,3961
10/1/1962,3803
11/1/1962,4024
12/1/1962,3907
1/1/1963,4074
2/1/1963,4238
3/1/1963,4072
4/1/1963,4055
5/1/1963,4217
6/1/1963,3977
7/1/1963,4051
8/1/1963,3878
9/1/1963,3957
10/1/1963,3987
11/1/1963,4151
12/1/1963,3975
1/1/1964,4029
2/1/1964,3932
3/1/1964,3950
4/1/1964,3918
5/1/1964,3764
6/1/1964,3814
7/1/1964,3608
8/1/1964,3655
9/1/1964,3712
10/1/1964,3726
11/1/1964,3551
12/1/1964,3651
1/1/1965,3572
2/1/1965,3730
3/1/1965,3510
4/1/1965,3595
5/1/1965,3432
6/1/1965,3387
7/1/1965,3301
8/1/1965,3254
9/1/1965,3216
10/1/1965,3143
11/1/1965,3073
12/1/1965,3031
1/1/1966,2988
2/1/1966,2820
3/1/1966,2887
4/1/1966,2828
5/1/1966,2950
6/1/1966,2872
7/1/1966,2876
8/1/1966,2900
9/1/1966,2798
10/1/1966,2798
11/1/1966,2770
12/1/1966,2912
1/1/1967,2968
2/1/1967,2915
3/1/1967,2889
4/1/1967,2895
5/1/1967,2929
6/1/1967,2992
7/1/1967,2944
8/1/1967,2945
9/1/1967,2958
10/1/1967,3143
11/1/1967,3066
12/1/1967,3018
1/1/1968,2878
2/1/1968,3001
3/1/1968,2877
4/1/1968,2709
5/1/1968,2740
6/1/1968,2938
7/1/1968,2883
8/1/1968,2768
9/1/1968,2686
10/1/1968,2689
11/1/1968,2715
12/1/1968,2685
1/1/1969,2718
2/1/1969,2692
3/1/1969,2712
4/1/1969,2758
5/1/1969,2713
6/1/1969,2816
7/1/1969,2868
8/1/1969,2856
9/1/1969,3040
