Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 3, 2017","$1,148.65 oz","$1,151.00 oz"
"January 4, 2017","$1,165.90 oz","$1,164.25 oz"
"January 5, 2017","$1,173.05 oz","$1,176.70 oz"
"January 6, 2017","$1,178.00 oz","$1,175.85 oz"
"January 9, 2017","$1,176.10 oz","$1,178.50 oz"
"January 10, 2017","$1,183.20 oz","$1,189.50 oz"
"January 11, 2017","$1,187.55 oz","$1,178.55 oz"
"January 12, 2017","$1,206.65 oz","$1,205.05 oz"
"January 13, 2017","$1,196.35 oz","$1,190.35 oz"
"January 16, 2017","$1,202.75 oz","$1,203.00 oz"
"January 17, 2017","$1,217.50 oz","$1,216.05 oz"
"January 18, 2017","$1,212.50 oz","$1,214.75 oz"
"January 19, 2017","$1,203.35 oz","$1,196.05 oz"
"January 20, 2017","$1,199.10 oz","$1,200.55 oz"
"January 23, 2017","$1,213.75 oz","$1,212.85 oz"
"January 24, 2017","$1,213.30 oz","$1,216.80 oz"
"January 25, 2017","$1,203.50 oz","$1,195.00 oz"
"January 26, 2017","$1,191.55 oz","$1,189.70 oz"
"January 27, 2017","$1,184.20 oz","$1,184.85 oz"
"January 30, 2017","$1,189.85 oz","$1,192.80 oz"
"January 31, 2017","$1,198.80 oz","$1,212.80 oz"
"February 1, 2017","$1,210.00 oz","$1,203.65 oz"
"February 2, 2017","$1,224.05 oz","$1,221.95 oz"
"February 3, 2017","$1,213.05 oz","$1,215.20 oz"
"February 6, 2017","$1,221.85 oz","$1,226.75 oz"
"February 7, 2017","$1,231.00 oz","$1,231.00 oz"
"February 8, 2017","$1,235.60 oz","$1,242.10 oz"
"February 9, 2017","$1,241.75 oz","$1,236.80 oz"
"February 10, 2017","$1,225.75 oz","$1,228.30 oz"
"February 13, 2017","$1,229.40 oz","$1,222.25 oz"
"February 14, 2017","$1,229.65 oz","$1,230.75 oz"
"February 15, 2017","$1,225.15 oz","$1,224.40 oz"
"February 16, 2017","$1,236.75 oz","$1,240.55 oz"
"February 17, 2017","$1,241.40 oz","$1,241.95 oz"
"February 20, 2017","$1,235.35 oz","$1,237.30 oz"
"February 21, 2017","$1,228.70 oz","$1,233.20 oz"
"February 22, 2017","$1,237.50 oz","$1,236.65 oz"
"February 23, 2017","$1,237.35 oz","$1,247.90 oz"
"February 24, 2017","$1,255.35 oz","$1,253.65 oz"
"February 27, 2017","$1,256.25 oz","$1,257.20 oz"
"February 28, 2017","$1,251.90 oz","$1,255.60 oz"
"March 1, 2017","$1,246.05 oz","$1,240.40 oz"
"March 2, 2017","$1,243.30 oz","$1,238.10 oz"
"March 3, 2017","$1,228.75 oz","$1,226.50 oz"
"March 6, 2017","$1,231.15 oz","$1,230.95 oz"
"March 7, 2017","$1,223.70 oz","$1,216.65 oz"
"March 8, 2017","$1,213.30 oz","$1,209.20 oz"
"March 9, 2017","$1,204.60 oz","$1,206.55 oz"
"March 10, 2017","$1,196.55 oz","$1,202.65 oz"
"March 13, 2017","$1,207.80 oz","$1,204.20 oz"
"March 14, 2017","$1,203.55 oz","$1,204.60 oz"
"March 15, 2017","$1,202.25 oz","$1,198.80 oz"
"March 16, 2017","$1,225.60 oz","$1,229.35 oz"
"March 17, 2017","$1,228.75 oz","$1,229.60 oz"
"March 20, 2017","$1,233.00 oz","$1,232.40 oz"
"March 21, 2017","$1,232.05 oz","$1,241.60 oz"
"March 22, 2017","$1,246.10 oz","$1,249.05 oz"
"March 23, 2017","$1,247.90 oz","$1,247.50 oz"
"March 24, 2017","$1,244.00 oz","$1,247.50 oz"
"March 27, 2017","$1,256.90 oz","$1,257.55 oz"
"March 28, 2017","$1,253.65 oz","$1,257.25 oz"
"March 29, 2017","$1,252.90 oz","$1,251.10 oz"
"March 30, 2017","$1,250.90 oz","$1,248.80 oz"
"March 31, 2017","$1,241.70 oz","$1,244.85 oz"
"April 3, 2017","$1,246.25 oz","$1,247.25 oz"
"April 4, 2017","$1,258.65 oz","$1,257.65 oz"
"April 5, 2017","$1,252.50 oz","$1,245.80 oz"
"April 6, 2017","$1,253.75 oz","$1,252.50 oz"
"April 7, 2017","$1,264.30 oz","$1,266.45 oz"
"April 10, 2017","$1,253.60 oz","$1,250.05 oz"
"April 11, 2017","$1,255.70 oz","$1,252.90 oz"
"April 12, 2017","$1,272.30 oz","$1,274.30 oz"
"April 13, 2017","$1,286.10 oz","$1,284.15 oz"
"April 18, 2017","$1,285.00 oz","$1,278.95 oz"
"April 19, 2017","$1,282.05 oz","$1,279.05 oz"
"April 20, 2017","$1,279.90 oz","$1,282.10 oz"
"April 21, 2017","$1,281.50 oz","$1,281.85 oz"
"April 24, 2017","$1,271.80 oz","$1,269.40 oz"
"April 25, 2017","$1,270.50 oz","$1,267.80 oz"
"April 26, 2017","$1,264.95 oz","$1,261.85 oz"
"April 27, 2017","$1,264.30 oz","$1,262.80 oz"
"April 28, 2017","$1,265.55 oz","$1,266.45 oz"
"May 2, 2017","$1,255.80 oz","$1,255.45 oz"
"May 3, 2017","$1,253.95 oz","$1,250.30 oz"
"May 4, 2017","$1,235.85 oz","$1,228.45 oz"
"May 5, 2017","$1,239.40 oz","$1,228.05 oz"
"May 8, 2017","$1,229.70 oz","$1,229.80 oz"
"May 9, 2017","$1,225.15 oz","$1,220.40 oz"
"May 10, 2017","$1,222.95 oz","$1,222.95 oz"
"May 11, 2017","$1,221.00 oz","$1,223.15 oz"
"May 12, 2017","$1,227.90 oz","$1,231.25 oz"
"May 15, 2017","$1,231.50 oz","$1,233.30 oz"
"May 16, 2017","$1,234.05 oz","$1,234.20 oz"
"May 17, 2017","$1,244.60 oz","$1,257.40 oz"
"May 18, 2017","$1,261.35 oz","$1,255.90 oz"
"May 19, 2017","$1,251.85 oz","$1,252.00 oz"
"May 22, 2017","$1,255.25 oz","$1,258.85 oz"
"May 23, 2017","$1,259.90 oz","$1,260.20 oz"
"May 24, 2017","$1,251.35 oz","$1,252.55 oz"
"May 25, 2017","$1,257.10 oz","$1,256.95 oz"
"May 26, 2017","$1,265.00 oz","$1,265.05 oz"
"May 30, 2017","$1,262.80 oz","$1,262.70 oz"
"May 31, 2017","$1,263.80 oz","$1,266.20 oz"
"June 1, 2017","$1,266.15 oz","$1,264.85 oz"
"June 2, 2017","$1,260.95 oz","$1,274.95 oz"
"June 5, 2017","$1,280.70 oz","$1,279.95 oz"
"June 6, 2017","$1,287.85 oz","$1,293.50 oz"
"June 7, 2017","$1,292.70 oz","$1,291.00 oz"
"June 8, 2017","$1,284.80 oz","$1,273.10 oz"
"June 9, 2017","$1,274.25 oz","$1,266.55 oz"
"June 12, 2017","$1,269.25 oz","$1,266.40 oz"
"June 13, 2017","$1,261.30 oz","$1,262.00 oz"
"June 14, 2017","$1,268.25 oz","$1,275.50 oz"
"June 15, 2017","$1,260.25 oz","$1,254.55 oz"
"June 16, 2017","$1,256.60 oz","$1,255.40 oz"
"June 19, 2017","$1,251.10 oz","$1,248.15 oz"
"June 20, 2017","$1,246.50 oz","$1,242.20 oz"
"June 21, 2017","$1,247.05 oz","$1,242.50 oz"
"June 22, 2017","$1,251.40 oz","$1,250.80 oz"
"June 23, 2017","$1,256.30 oz","$1,255.70 oz"
"June 26, 2017","$1,240.85 oz","$1,245.25 oz"
"June 27, 2017","$1,250.40 oz","$1,249.55 oz"
"June 28, 2017","$1,251.60 oz","$1,248.00 oz"
"June 29, 2017","$1,246.60 oz","$1,243.50 oz"
"June 30, 2017","$1,243.25 oz","$1,242.25 oz"
"July 3, 2017","$1,235.20 oz","$1,229.25 oz"
"July 4, 2017","$1,224.25 oz","$1,223.75 oz"
"July 5, 2017","$1,221.90 oz","$1,220.30 oz"
"July 6, 2017","$1,224.30 oz","$1,224.90 oz"
"July 7, 2017","$1,220.40 oz","$1,215.65 oz"
"July 10, 2017","$1,207.55 oz","$1,211.90 oz"
"July 11, 2017","$1,211.90 oz","$1,211.05 oz"
"July 12, 2017","$1,219.40 oz","$1,218.80 oz"
"July 13, 2017","$1,221.40 oz","$1,218.90 oz"
"July 14, 2017","$1,218.95 oz","$1,230.30 oz"
"July 17, 2017","$1,229.85 oz","$1,234.10 oz"
"July 18, 2017","$1,237.10 oz","$1,240.75 oz"
"July 19, 2017","$1,239.85 oz","$1,242.15 oz"
"July 20, 2017","$1,236.55 oz","$1,238.70 oz"
"July 21, 2017","$1,247.25 oz","$1,248.55 oz"
"July 24, 2017","$1,255.85 oz","$1,255.55 oz"
"July 25, 2017","$1,252.00 oz","$1,254.40 oz"
"July 26, 2017","$1,245.40 oz","$1,248.10 oz"
"July 27, 2017","$1,262.05 oz","$1,261.10 oz"
"July 28, 2017","$1,259.60 oz","$1,264.90 oz"
"July 31, 2017","$1,266.35 oz","$1,267.55 oz"
"August 1, 2017","$1,267.05 oz","$1,270.95 oz"
"August 2, 2017","$1,266.65 oz","$1,269.60 oz"
"August 3, 2017","$1,261.80 oz","$1,268.10 oz"
"August 4, 2017","$1,269.30 oz","$1,257.70 oz"
"August 7, 2017","$1,257.55 oz","$1,258.00 oz"
"August 8, 2017","$1,261.45 oz","$1,261.80 oz"
"August 9, 2017","$1,267.95 oz","$1,271.05 oz"
"August 10, 2017","$1,278.90 oz","$1,284.40 oz"
"August 11, 2017","$1,288.30 oz","$1,286.10 oz"
"August 14, 2017","$1,281.10 oz","$1,282.30 oz"
"August 15, 2017","$1,274.60 oz","$1,270.30 oz"
"August 16, 2017","$1,270.15 oz","$1,272.75 oz"
"August 17, 2017","$1,285.90 oz","$1,285.15 oz"
"August 18, 2017","$1,295.25 oz","$1,295.80 oz"
"August 21, 2017","$1,287.60 oz","$1,292.90 oz"
"August 22, 2017","$1,285.10 oz","$1,284.20 oz"
"August 23, 2017","$1,286.45 oz","$1,286.65 oz"
"August 24, 2017","$1,285.90 oz","$1,289.00 oz"
"August 25, 2017","$1,287.05 oz","$1,285.30 oz"
"August 29, 2017","$1,323.40 oz","$1,318.65 oz"
