DATE,NYT_sentiment,gas_prices,consumer_sentiments,unemployment_rate,CPI,retail_index,Consumer_debt_service,GDP_growth,sales,GDP
2015-11-01,0.388111111,2.158,91.3,5.1,-1.8510077335517963,100.21,5.399252,2.2,-545.9868241279619,61.21054040931267
2015-12-01,-0.4215,2.0375,92.6,5.0,-4.041453990875482,98.745,5.399252,2.2,-6148.401486297487,-116.93635797254683
2016-11-01,0.0,2.1815,93.8,4.7,-1.7489646184800165,101.539,5.59175,2.1,-3066.887401421496,63.803170329316345
2016-12-01,0.30265,2.25425,98.2,4.7,-2.9766338799924483,102.286,5.59175,2.1,-3705.1303674093215,-120.26265758675436
2017-11-01,0.49942,2.5635,98.5,4.2,-0.3104629361531295,93.00200000000001,5.576678,2.7,8695.100622455822,176.7384983961456
2017-12-01,0.0,2.47675,95.9,4.1,-1.7585925515273857,91.82600000000001,5.576678,2.7,4004.352281370142,-11.121857444089983
2018-11-01,0.327625,2.64725,97.5,3.7,1.088030548654359,97.196,5.52013,2.5,10268.736884640937,254.36731760893235
2018-12-01,0.3466,2.3656,98.3,3.9,-0.8934412404935301,95.735,5.52013,2.5,-7440.136012600211,64.69801743252174
2019-11-01,0.0,2.59775,96.8,3.5,2.3024644570504904,98.20200000000001,5.6141309999999995,2.3,10587.925184225198,314.71225633048743
2019-12-01,0.222725,2.555,99.3,3.5,0.9467784180832837,96.05799999999999,5.6141309999999995,2.3,3558.762154704018,124.6126123457434
