,,
Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"July 3, 1998",$293.90 oz,$294.60 oz
"July 6, 1998",$293.15 oz,$293.25 oz
"July 7, 1998",$293.10 oz,$293.75 oz
"July 8, 1998",$294.35 oz,$292.00 oz
"July 9, 1998",$292.20 oz,$291.80 oz
"July 10, 1998",$291.35 oz,$290.60 oz
"July 13, 1998",$290.70 oz,$291.50 oz
"July 14, 1998",$292.20 oz,$293.35 oz
"July 15, 1998",$292.80 oz,$293.15 oz
"July 16, 1998",$294.35 oz,$294.95 oz
"July 17, 1998",$293.60 oz,$293.80 oz
"July 20, 1998",$294.65 oz,$294.85 oz
"July 21, 1998",$295.20 oz,$294.90 oz
"July 22, 1998",$294.40 oz,$293.95 oz
"July 23, 1998",$292.90 oz,$293.30 oz
"July 24, 1998",$293.75 oz,$294.60 oz
"July 27, 1998",$290.75 oz,$290.65 oz
"July 28, 1998",$290.35 oz,$290.60 oz
"July 29, 1998",$291.00 oz,$290.75 oz
"July 30, 1998",$289.15 oz,$290.00 oz
"July 31, 1998",$289.40 oz,$288.85 oz
"August 3, 1998",$286.65 oz,$286.15 oz
"August 4, 1998",$285.70 oz,$286.10 oz
"August 5, 1998",$288.85 oz,$287.90 oz
"August 6, 1998",$286.85 oz,$287.80 oz
"August 7, 1998",$286.20 oz,$285.70 oz
"August 10, 1998",$286.20 oz,$285.60 oz
"August 11, 1998",$284.50 oz,$284.80 oz
"August 12, 1998",$285.50 oz,$285.05 oz
"August 13, 1998",$282.70 oz,$283.40 oz
"August 14, 1998",$284.80 oz,$284.40 oz
"August 17, 1998",$283.30 oz,$284.15 oz
"August 18, 1998",$284.40 oz,$284.25 oz
"August 19, 1998",$285.75 oz,$285.50 oz
"August 20, 1998",$283.70 oz,$285.30 oz
"August 21, 1998",$284.45 oz,$283.50 oz
"August 24, 1998",$284.30 oz,$284.50 oz
"August 25, 1998",$283.90 oz,$283.05 oz
"August 26, 1998",$282.50 oz,$283.15 oz
"August 27, 1998",$280.90 oz,$278.50 oz
"August 28, 1998",$273.40 oz,$273.40 oz
"September 1, 1998",$277.70 oz,$279.00 oz
"September 2, 1998",$280.00 oz,$280.15 oz
"September 3, 1998",$279.65 oz,$279.15 oz
"September 4, 1998",$285.40 oz,$285.00 oz
"September 7, 1998",$288.35 oz,$288.25 oz
"September 8, 1998",$287.30 oz,$285.40 oz
"September 9, 1998",$284.15 oz,$283.45 oz
"September 10, 1998",$285.65 oz,$290.50 oz
"September 11, 1998",$293.75 oz,$293.35 oz
"September 14, 1998",$290.30 oz,$290.20 oz
"September 15, 1998",$290.35 oz,$290.65 oz
"September 16, 1998",$289.15 oz,$288.25 oz
"September 17, 1998",$287.65 oz,$290.50 oz
"September 18, 1998",$290.85 oz,$290.10 oz
"September 21, 1998",$292.10 oz,$292.95 oz
"September 22, 1998",$288.50 oz,$288.90 oz
"September 23, 1998",$288.00 oz,$288.90 oz
"September 24, 1998",$290.60 oz,$292.70 oz
"September 25, 1998",$296.35 oz,$298.10 oz
"September 28, 1998",$293.80 oz,$292.25 oz
"September 29, 1998",$296.85 oz,$296.00 oz
"September 30, 1998",$294.10 oz,$293.85 oz
"October 1, 1998",$299.00 oz,$297.60 oz
"October 2, 1998",$301.40 oz,$300.80 oz
"October 5, 1998",$298.75 oz,$298.75 oz
"October 6, 1998",$296.35 oz,$294.65 oz
"October 7, 1998",$298.85 oz,$298.00 oz
"October 8, 1998",$302.35 oz,$300.25 oz
"October 9, 1998",$299.65 oz,$298.70 oz
"October 12, 1998",$296.65 oz,$296.45 oz
"October 13, 1998",$296.80 oz,$295.55 oz
"October 14, 1998",$296.60 oz,$295.30 oz
"October 15, 1998",$296.00 oz,$298.15 oz
"October 16, 1998",$300.45 oz,$297.95 oz
"October 19, 1998",$298.35 oz,$298.55 oz
"October 20, 1998",$295.85 oz,$295.40 oz
"October 21, 1998",$296.90 oz,$295.25 oz
"October 22, 1998",$293.75 oz,$292.90 oz
"October 23, 1998",$292.85 oz,$292.25 oz
"October 26, 1998",$291.20 oz,$291.45 oz
"October 27, 1998",$293.00 oz,$293.00 oz
"October 28, 1998",$293.75 oz,$293.15 oz
"October 29, 1998",$293.50 oz,$294.00 oz
"October 30, 1998",$293.10 oz,$292.30 oz
"November 2, 1998",$292.75 oz,$292.70 oz
"November 3, 1998",$290.10 oz,$288.60 oz
"November 4, 1998",$290.10 oz,$289.40 oz
"November 5, 1998",$290.90 oz,$290.60 oz
"November 6, 1998",$293.60 oz,$293.30 oz
"November 9, 1998",$292.40 oz,$292.05 oz
"November 10, 1998",$291.75 oz,$292.25 oz
"November 11, 1998",$293.60 oz,$293.50 oz
"November 12, 1998",$293.00 oz,$294.45 oz
"November 13, 1998",$297.20 oz,$297.10 oz
"November 16, 1998",$295.35 oz,$294.85 oz
"November 17, 1998",$294.60 oz,$293.80 oz
"November 18, 1998",$294.40 oz,$296.50 oz
"November 19, 1998",$297.85 oz,$296.35 oz
"November 20, 1998",$296.05 oz,$295.60 oz
"November 23, 1998",$295.60 oz,$295.50 oz
"November 24, 1998",$295.95 oz,$296.45 oz
"November 25, 1998",$296.20 oz,$296.30 oz
"November 26, 1998",$296.25 oz,$296.40 oz
"November 27, 1998",$295.70 oz,$296.15 oz
"November 30, 1998",$295.75 oz,$294.70 oz
"December 1, 1998",$293.35 oz,$293.30 oz
"December 2, 1998",$293.90 oz,$294.15 oz
"December 3, 1998",$292.95 oz,$292.85 oz
"December 4, 1998",$292.40 oz,$292.30 oz
"December 7, 1998",$292.35 oz,$295.55 oz
"December 8, 1998",$294.50 oz,$294.40 oz
"December 9, 1998",$293.50 oz,$294.20 oz
"December 10, 1998",$294.90 oz,$293.95 oz
"December 11, 1998",$294.30 oz,$290.80 oz
"December 14, 1998",$291.25 oz,$291.40 oz
"December 15, 1998",$292.50 oz,$292.55 oz
"December 16, 1998",$292.55 oz,$294.10 oz
"December 17, 1998",$293.75 oz,$293.30 oz
"December 18, 1998",$292.35 oz,$291.60 oz
"December 21, 1998",$289.95 oz,$289.65 oz
"December 22, 1998",$288.70 oz,$287.25 oz
"December 23, 1998",$287.70 oz,$285.80 oz
"December 24, 1998",$286.65 oz,
"December 29, 1998",$286.70 oz,$286.95 oz
"December 30, 1998",$286.80 oz,$287.80 oz
"December 31, 1998",$287.45 oz,
